id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
117,2.98273,17.4096,9.78495,1.35106,0.595464,887.497,936.862
21,2.25868,17.573,8.27308,1.45594,0.919192,183.352,566.242
22,2.65203,13.0397,12.5139,1.32037,0.820234,1843.65,1959.67
29,3.2858,24.5075,8.27308,0.905725,0.844681,49.1808,566.242
79,1.84377,18.0834,8.48111,0.973522,0.779999,583.297,610.04
170,1.68222,13.0397,9.15695,0.863729,0.820234,48.087,767.807
150,2.25868,17.573,8.27308,1.06203,0.919192,526.626,566.242
40,2.84718,18.06,16.9628,0.998806,0.756034,3572.63,4880.81
49,3.17255,13.0397,9.15695,1.08199,0.849158,743.865,767.807
134,2.92007,18.0834,10.3519,0.973522,0.779999,916.09,1109.32
102,1.64861,20.0281,12.7777,0.898893,0.705998,1009.1,2086.2
131,2.82633,14.6642,8.3819,0.96587,0.373775,554.187,588.881
72,2.63374,13.0332,11.0108,0.92393,0.699358,571.675,1334.94
0,3.17255,13.0397,9.15695,1.08199,0.820234,462.798,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,704.168,830.015
7,2.56671,18.7528,9.15695,1.08199,0.820234,73.0429,767.807
24,3.17255,13.0397,9.15695,1.08199,0.919357,589.952,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,522.961,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,1182.48,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,2023.74,2086.2
133,3.17255,13.0397,12.5139,1.08199,0.820234,1854.34,1959.67
105,2.82633,14.6642,9.61121,0.96587,0.373775,821.535,887.838
90,2.89106,18.6228,8.6787,1.04825,0.581381,648.452,653.678
173,2.84718,18.06,11.9032,0.998806,0.692055,516.829,1686.5
132,3.17255,13.0397,12.5139,1.08199,0.820234,1930.22,1959.67
18,3.2858,15.419,8.27308,0.905725,0.682185,495.845,566.242
30,1.52852,19.2541,8.3819,0.96587,0.876734,232.078,588.881
159,4.35271,15.419,8.27308,0.905725,0.932597,538.132,566.242
98,2.62936,17.3054,9.45213,1.00416,1,657.677,844.48
9,3.00766,19.0906,8.19613,0.9774,0.697295,429.978,550.588
123,3.01681,14.1059,9.15695,0.950916,0.896447,755.532,767.807
48,3.2858,18.4407,8.27308,0.905725,0.844681,409.462,566.242
60,2.62936,17.3054,12.6216,1.00416,1,1778.09,2010.7
61,3.17255,13.0397,9.15695,1.08199,0.919357,621.137,767.807
164,2.25868,17.573,8.27308,1.06203,0.682185,428.415,566.242
138,3.01681,14.1059,9.15695,0.950916,0.896447,753.922,767.807
97,1.52852,20.3191,8.3819,0.96587,0.689048,556.218,588.881
147,2.88274,13.0397,9.15695,1.08199,0.919357,405.306,767.807
34,2.84718,18.06,11.9032,0.998806,0.756034,1400.46,1686.5
5,2.82633,14.6642,8.3819,0.96587,0.728269,509.49,588.881
15,2.89106,18.6228,8.6787,1.04825,0.581381,647.755,653.678
