id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
244,1.05686,5.31711,12.7749,0.649266,0.360096,1523.72,2084.84
611,2.43109,9.29033,7.87902,0.791796,0.306411,472.052,489.122
659,3.17255,11.0803,9.15695,1.08199,0.820234,764.2,767.807
658,3.17255,13.0397,9.74333,1.29699,0.820234,4.68652,924.96
505,4.86822,19.4044,15.6355,1.44572,0.663695,1777.81,3822.36
649,1.99468,13.0397,9.74333,1.08199,0.619601,738.501,924.96
640,1.65403,8.71696,18.1988,1.39136,0.581381,5403.42,6027.37
564,2.65203,12.2644,12.5139,1.73795,0.619809,1871.59,1959.67
395,1.65403,6.45242,12.4682,1.04825,0.788544,1617.97,1938.26
128,3.05255,17.8171,20.5161,1.32746,0.609401,11.0752,8635.42
237,3.17255,13.0397,9.15695,0.620527,0.820234,749.096,767.807
436,3.34455,12.3964,12.5139,1.73795,0.820234,1885.26,1959.67
9,2.96556,11.3328,9.61121,0.794269,0.373775,738.561,887.838
702,3.38625,19.4044,19.362,1.44572,1,3159.73,7258.52
386,3.32451,19.4044,15.6355,1.44572,0.765501,1690.04,3822.36
548,2.57047,12.2644,12.5621,1.73795,1,157.477,1982.37
57,1.65403,8.71696,18.1988,1.04825,0.581381,4709.4,6027.37
346,1.65403,8.71696,18.1988,1.04825,0.581381,5008.67,6027.37
66,1.16854,8.2497,13.3614,1.04825,0.803079,2120.08,2385.37
345,3.34455,12.3964,9.99135,1.73795,0.673178,412.553,997.406
309,3.99558,10.2579,9.15695,1.08199,0.820234,707.48,767.807
478,2.96556,11.3328,9.61121,0.96587,0.373775,865.757,887.838
84,3.32451,19.4044,15.6355,1.44572,0.663695,43.5173,3822.36
24,1.65403,11.1903,12.4682,1.04825,0.581381,340.76,1938.26
114,2.96556,11.3328,9.61121,0.96587,0.373775,768.002,887.838
686,4.03769,10.2579,11.4201,1.08199,0.820234,1359.64,1489.38
87,2.65203,12.2644,12.5139,1.73795,0.820234,1750.16,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,751.511,767.807
655,4.54374,19.4044,15.6355,1.44572,0.841093,136.711,3822.36
461,5.75128,10.2579,9.15695,1.14352,0.889569,343.212,767.807
547,2.57047,10.8801,18.3329,1.73795,1,5454.42,6161.58
54,1.6814,6.61143,9.61121,0.96587,0.497208,849.463,887.838
437,3.17255,13.0397,9.74333,1.08199,0.619601,769.849,924.96
366,3.17255,13.0397,9.74333,1.08199,0.820234,746.763,924.96
267,3.32451,19.4044,15.6355,1.44572,0.663695,2680.06,3822.36
685,3.99558,13.8494,9.15695,1.37187,0.793013,680.576,767.807
554,3.17255,11.0803,9.74331,1.49414,0.553118,208.692,924.954
196,3.17255,11.0803,9.74331,1.08199,0.820234,901.703,924.954
136,2.57047,12.2644,12.5621,1.73795,1,220.37,1982.37
580,3.34455,12.3964,12.5139,1.73795,0.694324,1896.25,1959.67
306,5.75128,10.2579,9.15695,1.14352,1,677.187,767.807
144,1.65403,12.4351,18.1988,1.04825,0.581381,5311.76,6027.37
615,1.55129,8.17547,11.6937,0.983133,0.545266,247.42,1599.02
347,2.82633,16.1096,9.61121,0.96587,0.535201,134.356,887.838
234,2.82633,11.3328,9.61121,0.96587,0.373775,833.172,887.838
566,3.99558,10.2579,9.15695,1.08199,0.820234,696.751,767.807
127,3.17255,11.0803,9.15695,1.08199,0.820234,720.11,767.807
74,1.65403,6.45242,12.4682,1.04825,0.788544,1850.86,1938.26
592,3.32451,19.4044,16.4996,2.00154,0.765501,650.455,4491.76
537,1.50829,8.94456,6.15644,1.2675,0.452033,207.502,233.339
142,1.99468,13.0397,9.74333,1.08199,0.619601,689.531,924.96
73,1.65403,8.71696,12.4682,1.04825,0.581381,1636.45,1938.26
381,4.03769,10.2579,11.4201,1.08199,0.820234,1451.09,1489.38
341,3.34455,12.3964,12.5139,1.73795,0.820234,818.153,1959.67
104,2.82633,14.6642,9.61121,0.509662,0.373775,820.611,887.838
