id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
20,2.90622,16.7557,11.1957,1.28372,0.778862,424.772,1403.3
219,1.65872,12.2644,17.9143,1.73795,1,2656.61,5749.13
202,2.57047,12.2644,12.5621,1.73795,1,1629.17,1982.37
242,2.82633,14.6642,8.3819,0.96587,0.373775,482.297,588.881
237,1.65872,12.2644,17.9143,1.73795,0.820234,4416.98,5749.13
162,1.65403,6.45242,12.4682,1.04825,0.581381,1748.24,1938.26
235,2.37797,9.1003,12.5139,2.29883,0.755269,1580.37,1959.67
217,3.32451,21.7051,15.6355,1.48239,0.663695,1048.53,3822.36
24,1.65403,11.1903,12.4682,1.04825,0.581381,1570.17,1938.26
169,3.67825,18.06,5.79592,0.724099,0.756034,158.405,194.701
243,4.64828,6.75444,17.2628,1.08199,0.998248,4111.12,5144.37
87,2.65203,12.2644,12.5139,1.73795,0.820234,1953.69,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,728.977,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,652.659,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1781.49,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3242.67,3822.36
115,4.35271,10.848,8.27308,0.905725,0.798763,190.394,566.242
57,3.32451,10.3808,10.9062,1.44572,0.848766,680.399,1297.22
196,3.32451,19.4044,10.9062,1.44572,0.663695,1194.93,1297.22
249,2.64798,11.6786,9.39785,1.05549,0.910334,523.239,830.015
105,2.82633,14.6642,9.61121,0.96587,0.373775,710.414,887.838
14,2.82633,14.6642,9.61121,0.96587,0.373775,696.322,887.838
156,3.64099,13.7338,9.15695,1.08199,0.919357,310.408,767.807
106,4.35271,10.848,8.27308,0.905725,0.798763,416.294,566.242
138,2.64798,11.6786,9.39785,1.05549,0.910334,558.495,830.015
3,3.8491,9.1003,12.5139,1.73795,1,838.979,1959.67
158,1.76056,11.2505,10.6787,1.04825,0.581381,1022.96,1217.76
251,2.65203,7.77025,8.72182,1.73795,0.820234,564.691,663.47
101,3.8491,9.1003,12.5139,1.73795,0.755269,1578.06,1959.67
234,2.82633,11.3328,9.61121,0.96587,0.373775,870.152,887.838
104,3.11123,9.28508,12.5139,1.718,0.755269,895.988,1959.67
127,3.17255,11.0803,9.15695,1.08199,0.820234,646.76,767.807
174,3.78782,9.81995,4.8987,1.08199,0.919357,111.658,117.555
9,2.0715,14.6642,9.61121,0.494105,0.452841,703.745,887.838
139,5.38534,6.75444,17.2628,1.08199,0.998248,4275.71,5144.37
247,2.92007,18.0834,12.0828,0.973522,0.840579,788.458,1764.02
233,2.65203,7.77025,12.5702,2.03291,0.820234,1603.33,1986.21
78,2.65203,7.77025,12.5139,1.73795,0.820234,1143.52,1959.67
66,1.76056,11.2505,8.6787,1.04825,0.581381,576.034,653.678
145,3.17255,11.0803,9.15695,1.27739,0.924637,544.951,767.807
