id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
6,2.30718,15.7796,6.87007,0.858323,0.539713,121.595,324.252
130,3.17255,13.0397,9.23167,1.22856,0.820234,673.568,786.758
34,2.84718,18.06,11.9032,0.998806,0.756034,1521.69,1686.5
64,3.00766,19.0906,8.19613,0.9774,1,495.792,550.588
97,1.52852,20.3191,8.3819,0.96587,0.689048,550.592,588.881
133,3.17255,13.0397,12.5139,1.08199,0.820234,1889.78,1959.67
152,3.00766,19.0906,8.19613,0.900854,0.697295,524.083,550.588
102,1.53486,18.6461,11.896,0.836868,0.657283,693.284,1683.46
138,3.01681,14.1059,9.15695,0.950916,0.896447,596.557,767.807
67,2.92007,12.6681,7.66888,0.973522,1,400.102,451.02
150,2.12021,16.4956,7.76588,0.996923,0.862838,231.237,468.351
77,3.428,18.6228,8.6787,1.04825,0.581381,553.779,653.678
63,3.26984,20.0281,12.7777,0.984656,0.96878,1862.52,2086.2
15,3.99118,21.1988,7.40058,1.04825,1,374.531,405.319
18,3.2858,15.419,8.27308,0.905725,0.682185,565.026,566.242
108,2.92007,23.9051,7.66888,0.973522,1,298.512,451.02
168,2.92007,18.0834,10.6061,0.973522,0.779999,330.819,1193.06
90,2.89106,18.6228,8.6787,1.04825,0.581381,640.264,653.678
12,2.92007,10.1964,10.3519,0.56354,0.779999,624.844,1109.32
75,2.84718,18.06,8.87625,1.13466,0.757903,653.57,699.34
105,2.84718,18.06,8.87625,1.0336,0.757903,531.642,699.34
134,2.92007,18.0834,10.3519,0.973522,0.779999,968.789,1109.32
92,3.00766,13.0925,8.19613,0.606234,0.697295,549.416,550.588
89,1.52852,20.3191,8.3819,0.96587,0.689048,447.602,588.881
52,2.89106,18.6228,8.6787,0.883483,0.509426,636.78,653.678
0,3.17255,13.0397,9.15695,1.08199,0.820234,755.937,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,826.301,830.015
158,2.96087,11.1221,9.45213,1.00416,0.782491,799.569,844.48
50,2.79083,18.6228,8.20902,1.04825,1,507.786,553.189
79,2.96087,17.3054,9.45213,1.00416,0.782491,732.155,844.48
111,2.83718,19.4044,8.44824,1.05549,0.663695,27.6764,602.975
109,3.26984,20.0281,12.7777,0.984656,0.723886,1883.88,2086.2
57,3.01681,20.9203,9.15695,1.08199,0.896447,110.035,767.807
56,3.24405,18.06,8.73821,0.933646,0.757903,469.017,667.218
69,2.83718,19.4044,8.44824,1.05549,0.663695,298.91,602.975
53,2.25868,17.573,8.27308,0.905725,0.682185,194.034,566.242
132,3.17255,13.0397,12.5139,1.08199,0.820234,1655.18,1959.67
122,2.84718,18.06,7.73832,1.13466,0.757903,462.499,463.384
65,2.49347,19.2208,8.09506,1.0257,0.677264,116.513,530.469
159,4.35271,15.419,8.27308,0.905725,0.932597,565.932,566.242
98,2.62936,17.3054,9.45213,1.00416,1,642.662,844.48
9,3.00766,19.0906,8.19613,0.9774,0.697295,405.409,550.588
123,3.01681,14.1059,9.15695,0.950916,0.896447,755.532,767.807
48,3.2858,18.4407,8.27308,0.905725,0.844681,565.936,566.242
160,3.17255,13.0397,6.94632,1.08199,0.820234,5.11118,335.169
61,3.17255,13.0397,9.15695,1.08199,0.919357,679.483,767.807
164,2.25868,17.573,8.27308,1.06203,0.682185,306.372,566.242
128,2.85066,18.6228,8.6787,1.04825,0.581381,527.268,653.678
136,3.05096,20.8909,10.1456,0.905748,0.593947,551.993,1044.32
162,2.56671,18.7528,9.15695,1.08199,0.820234,742.344,767.807
153,2.92007,14.0806,9.26369,0.973522,0.531456,400.874,794.973
5,2.82633,14.6642,8.3819,0.96587,0.728269,494.956,588.881
165,2.84718,18.06,8.73821,0.998806,0.756034,636.195,667.218
