id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
196,2.61371,15.2557,8.57436,1.13662,0.521793,443.057,630.385
122,1.53379,8.16088,6.29536,0.76038,0.421723,194.877,249.496
78,2.89106,18.6228,8.6787,0.725877,0.581381,403.043,653.678
134,2.92007,18.0834,10.3519,0.973522,0.779999,558.138,1109.32
169,3.67825,18.06,5.79592,0.724099,0.756034,166.988,194.701
131,2.82633,14.6642,8.3819,0.96587,0.373775,573.878,588.881
87,2.65203,12.2644,12.5139,1.73795,0.820234,1956.68,1959.67
132,2.92007,9.5224,10.3519,1.10578,0.779999,973.59,1109.32
50,2.62936,17.3054,12.6216,0.552644,1,1801.66,2010.7
95,2.89106,18.6228,8.6787,1.04825,0.581381,503.333,653.678
24,3.17255,13.0397,9.15695,1.08199,0.919357,732.598,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,560.717,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,283.945,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,161.714,2086.2
45,4.34214,6.75444,9.15695,1.08199,0.919357,492.411,767.807
105,2.82633,14.6642,9.61121,0.96587,0.373775,828.927,887.838
14,2.82633,14.6642,9.61121,0.96587,0.373775,860.115,887.838
1,3.17255,13.0397,9.15695,1.08199,0.820234,559.773,767.807
159,2.84718,18.06,9.42697,0.998806,1,118.664,837.753
61,2.89106,18.6228,8.24144,1.04825,0.581381,438.428,559.769
73,3.8491,9.1003,12.5139,1.73795,0.755269,1866.37,1959.67
65,3.17255,17.1571,9.15695,1.37395,0.820234,114.145,767.807
102,2.64798,11.6786,9.39785,1.05549,0.910334,198.989,830.015
103,1.64861,14.1701,12.7777,0.516979,0.705998,1797.22,2086.2
80,3.01681,17.9316,8.62769,0.950916,0.896447,630.395,642.219
116,1.48106,11.6786,9.39785,0.614472,0.910334,769.295,830.015
10,2.62936,17.3054,12.6216,1.00416,1,1972.79,2010.7
27,3.17255,9.81995,9.15695,1.08199,0.919357,724.228,767.807
9,2.0715,14.6642,9.61121,0.494105,0.452841,726.699,887.838
138,3.01681,14.1059,9.15695,0.950916,0.896447,734,767.807
189,2.45201,8.85522,10.3519,0.683568,0.779999,1097.42,1109.32
25,2.65203,9.1003,12.5139,1.73795,0.820234,1673.92,1959.67
34,2.84718,18.06,11.9032,0.998806,0.756034,1359.41,1686.5
66,1.76056,11.2505,8.6787,1.04825,0.581381,603.099,653.678
15,2.89106,18.6228,8.6787,1.04825,0.581381,498.107,653.678
