id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
437,2.05454,8.44451,6.30979,0.700698,0.401254,204.082,251.214
434,1.33898,6.79462,5.24142,0.324255,0.3427,104.461,143.995
237,2.94328,12.0974,8.49521,0.575684,0.760959,377.719,613.088
436,3.27175,12.1265,12.2416,1.70012,0.802381,1649.78,1834.47
9,1.64225,6.27581,5.32244,0.439846,0.206987,114.503,150.776
400,1.5419,9.19573,12.1072,1.0179,0.765711,1437.5,1774.71
386,3.32451,19.4044,15.6355,1.44572,0.765501,3007.5,3822.36
395,6.52433,10.848,8.27308,0.905725,1,360.792,566.242
140,2.21707,11.2505,8.6787,1.04825,0.581381,229.897,653.678
346,1.65403,8.71696,18.1988,1.04825,0.581381,5472.68,6027.37
66,1.16854,8.2497,13.3614,1.04825,0.803079,2265.93,2385.37
306,3.17255,11.0803,9.15695,1.08199,0.820234,533.929,767.807
309,3.99558,10.2579,9.15695,1.08199,0.820234,754.649,767.807
305,2.57047,12.2644,17.9973,1.73795,1,1507.89,5829.37
335,3.55422,6.61055,8.72182,2.60303,1,413.537,663.47
24,1.65403,11.1903,12.4682,1.04825,0.581381,1593.2,1938.26
114,2.96556,11.3328,9.61121,0.96587,0.373775,816.994,887.838
6,4.35271,10.848,8.27308,0.905725,1,524.036,566.242
87,2.65203,12.2644,12.5139,1.73795,0.820234,1798.93,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,277.677,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,573.832,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1616.43,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3624.94,3822.36
100,2.82633,11.3328,9.61121,0.96587,0.497208,818.472,887.838
397,1.4416,11.1326,8.72182,1.73795,1,19.8964,663.47
366,3.17255,13.0397,9.74333,1.08199,0.820234,506.901,924.96
267,3.32451,19.4044,15.6355,1.44572,0.663695,3809.78,3822.36
404,3.38625,19.4044,15.4085,1.44572,0.993675,3245.85,3658.34
149,4.35271,10.848,8.27308,0.905725,1,542.76,566.242
196,3.17255,11.0803,9.74331,1.08199,0.820234,788.327,924.954
136,2.57047,12.2644,12.5621,1.73795,1,1806.77,1982.37
93,2.65203,7.77025,8.72182,1.73795,1,402.007,663.47
106,1.4416,11.1326,8.72182,1.73795,1,593.931,663.47
379,2.57047,10.8801,18.3329,1.73795,1,5336.82,6161.58
321,4.35271,10.848,8.27308,0.905725,1,188.839,566.242
347,2.82633,16.1096,9.61121,0.96587,0.535201,794.272,887.838
234,2.82633,11.3328,9.61121,0.96587,0.373775,714.423,887.838
162,1.65403,6.45242,12.4682,1.04825,0.581381,1929.47,1938.26
127,3.17255,11.0803,9.15695,1.08199,0.820234,569.802,767.807
74,1.65403,6.45242,12.4682,1.04825,0.788544,1799.11,1938.26
432,2.45275,9.14601,16.124,1.73795,0.820234,3586.69,4191.99
46,2.57047,17.3314,17.9973,1.73795,1,592.554,5829.37
54,1.4416,7.77025,8.72182,1.73795,1,622.037,663.47
73,1.65403,8.71696,12.4682,1.04825,0.581381,1220.74,1938.26
381,4.03769,10.2579,11.4201,1.08199,0.820234,970.076,1489.38
341,3.34455,12.3964,12.5139,1.73795,0.820234,1836.33,1959.67
104,2.82633,14.6642,9.61121,0.509662,0.373775,763.318,887.838
