id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
150,2.25868,17.573,8.27308,1.06203,0.682185,74.2375,566.242
97,1.25728,16.7134,6.89452,0.794475,0.566775,299.042,327.727
133,3.17255,13.0397,12.5139,1.08199,0.820234,1106.11,1959.67
152,3.00766,19.0906,8.19613,0.900854,0.697295,522.297,550.588
143,3.016,19.4044,9.39785,1.05549,0.663695,575.211,830.015
138,3.01681,14.1059,9.15695,0.950916,0.896447,649.28,767.807
67,2.92007,12.6681,7.66888,0.973522,1,281.536,451.02
60,2.49347,19.2208,8.09506,1.0257,0.677264,391.96,530.469
77,3.428,18.6228,8.6787,1.04825,0.581381,512.169,653.678
63,3.26984,20.0281,12.7777,0.984656,0.96878,1535.28,2086.2
15,3.99118,21.1988,7.40058,1.04825,1,397.07,405.319
18,3.2858,15.419,8.27308,0.905725,0.682185,541.307,566.242
119,2.92007,16.2256,7.66888,0.973522,0.779999,213.067,451.02
168,2.92007,18.0834,10.6061,0.973522,0.779999,971.263,1193.06
90,2.89106,18.6228,8.6787,1.04825,0.581381,600.718,653.678
102,3.05096,20.8909,7.37547,0.905748,0.801977,275.003,401.208
75,2.84718,18.06,8.87625,1.13466,0.757903,619.845,699.34
105,2.84718,18.06,8.87625,1.0336,0.757903,678.03,699.34
134,2.92007,18.0834,10.3519,0.973522,0.779999,1019.47,1109.32
92,3.00766,13.0925,8.19613,0.606234,0.697295,527.88,550.588
89,1.52852,20.3191,8.3819,0.96587,0.689048,574.972,588.881
52,2.29095,14.7572,6.87723,0.700095,0.403683,302.141,325.267
0,3.17255,13.0397,9.15695,1.08199,0.820234,719.722,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,802.923,830.015
31,2.92007,16.2256,10.6061,1.34217,0.779999,281.879,1193.06
50,2.79083,18.6228,8.20902,1.04825,1,513.592,553.189
79,2.96087,17.3054,9.45213,1.00416,0.782491,608.087,844.48
111,2.83718,19.4044,8.44824,1.05549,0.663695,470.522,602.975
109,3.26984,20.0281,12.7777,0.984656,0.723886,1784.05,2086.2
57,3.01681,20.9203,9.15695,1.08199,0.896447,416.18,767.807
56,3.24405,18.06,8.73821,0.933646,0.757903,568.296,667.218
69,2.83718,19.4044,8.44824,1.05549,0.663695,541.66,602.975
53,2.25868,17.573,8.27308,0.905725,0.682185,420.131,566.242
132,3.17255,13.0397,12.5139,1.08199,0.820234,1945.69,1959.67
122,2.84718,18.06,7.73832,1.13466,0.757903,426.5,463.384
65,2.49347,19.2208,8.09506,1.0257,0.677264,510.478,530.469
159,4.35271,15.419,8.27308,0.905725,0.932597,348.658,566.242
98,2.62936,17.3054,9.45213,1.00416,1,758.144,844.48
9,3.00766,19.0906,8.19613,0.9774,0.697295,440.699,550.588
123,3.01681,14.1059,9.15695,0.950916,0.896447,653.104,767.807
131,2.55807,17.5159,8.50654,0.759422,0.497993,381.219,615.544
135,2.92007,16.2256,10.6061,0.973522,0.779999,755.772,1193.06
61,3.17255,13.0397,9.15695,1.08199,0.919357,653.932,767.807
164,2.25868,17.573,8.27308,1.06203,0.682185,222.621,566.242
128,2.85066,18.6228,8.6787,1.04825,0.581381,619.725,653.678
136,3.05096,20.8909,10.1456,0.905748,0.593947,962.004,1044.32
162,2.56671,18.7528,9.15695,1.08199,0.820234,737.696,767.807
153,2.92007,14.0806,9.26369,0.973522,0.531456,466.945,794.973
5,2.82633,14.6642,8.3819,0.96587,0.728269,456.823,588.881
165,2.84718,18.06,8.73821,0.998806,0.756034,505.369,667.218
