id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
46,1.05472,7.13571,7.95056,0.668434,0.384301,383.442,502.566
136,2.57047,12.2644,12.5621,1.73795,1,1649.79,1982.37
24,1.65403,11.1903,12.4682,1.04825,0.581381,1707.89,1938.26
114,2.96556,11.3328,9.61121,0.96587,0.373775,538.005,887.838
6,4.35271,10.848,8.27308,0.905725,1,544.448,566.242
87,2.65203,12.2644,12.5139,1.73795,0.820234,1640.19,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,636.227,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,593.369,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1737.05,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3248.47,3822.36
100,2.82633,11.3328,9.61121,0.96587,0.497208,469.806,887.838
290,1.98598,10.9582,12.8996,1.55285,0.368114,717.696,2146.47
196,3.32451,19.4044,10.9062,1.44572,0.663695,1130.66,1297.22
267,3.32451,19.4044,15.6355,1.44572,0.663695,3320.09,3822.36
278,3.8491,9.1003,12.5139,1.73795,0.755269,1399.08,1959.67
149,4.35271,10.848,8.27308,0.905725,1,503.47,566.242
140,1.76056,7.73381,10.6787,1.04825,0.581381,1105.67,1217.76
106,4.35271,10.848,8.27308,0.905725,0.798763,258.365,566.242
93,2.65203,7.77025,8.72182,1.73795,1,648.524,663.47
3,3.8491,9.1003,12.5139,1.73795,1,121.569,1959.67
158,1.76056,11.2505,10.6787,1.04825,0.581381,1066.7,1217.76
257,3.99558,11.0803,9.15695,1.08199,0.820234,653.445,767.807
101,3.8491,9.1003,12.5139,1.73795,0.755269,1924.2,1959.67
234,2.82633,11.3328,9.61121,0.96587,0.373775,851.777,887.838
162,1.65403,6.45242,12.4682,1.04825,0.581381,1663.87,1938.26
127,3.17255,11.0803,9.15695,1.08199,0.820234,711.492,767.807
174,3.78782,9.81995,4.8987,1.08199,0.919357,28.8203,117.555
9,2.0715,14.6642,9.61121,0.494105,0.452841,792.807,887.838
202,2.57047,12.2644,12.5621,1.73795,1,1698.6,1982.37
54,1.4416,7.77025,8.72182,1.73795,1,578.227,663.47
73,1.65403,8.71696,12.4682,1.04825,0.581381,1866.35,1938.26
261,3.99558,11.0803,9.15695,1.08199,0.820234,663.786,767.807
66,1.76056,11.2505,8.6787,1.04825,0.581381,396.048,653.678
104,2.82633,14.6642,9.61121,0.509662,0.373775,765.859,887.838
