id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
67,2.96087,19.6981,7.4762,1.00416,0.782491,388.329,417.871
68,2.83718,19.955,8.44824,1.05549,0.802335,493.662,602.975
65,3.09296,20.6401,8.09612,0.921834,0.689092,45.7332,530.677
64,2.82633,20.3191,8.3819,0.96587,0.689048,487.255,588.881
77,2.92007,21.3764,7.66888,0.973522,0.745606,344.263,451.02
62,3.05096,20.8909,7.37547,0.905748,0.801977,395.251,401.208
61,2.79083,18.6228,8.20902,1.04825,0.772264,528.329,553.189
60,2.77076,20.0789,8.35145,1.02006,0.816584,516.662,582.486
59,2.84718,18.06,8.73821,0.998806,0.757903,592.764,667.218
58,3.26984,20.0281,8.70528,0.900729,0.723886,629.221,659.702
70,3.00766,19.0906,8.19613,0.9774,0.697295,548.95,550.588
73,3.05754,19.2031,8.29698,1.06674,0.676413,476.17,571.164
55,3.23159,18.7579,7.69389,1.08155,0.695084,95.0938,455.448
69,3.05752,19.2208,8.09506,1.0257,0.677264,446.779,530.469
53,3.10131,21.3141,8.02834,0.987758,0.780206,29.5761,517.46
52,3.01681,20.9203,7.93836,1.08199,0.688087,417.465,500.257
75,3.19351,19.5065,8.35355,0.932949,0.79467,52.6241,582.926
74,3.2858,19.8351,8.27308,0.905725,0.682185,434.424,566.242
