id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
320,1.65632,7.90275,8.09455,0.873214,0.389108,388.098,530.369
379,2.57047,10.8801,18.3329,1.73795,1,2953.9,6161.58
46,2.57047,17.3314,17.9973,1.73795,1,2794.4,5829.37
386,3.32451,19.4044,15.6355,1.44572,0.765501,3752.68,3822.36
395,6.52433,10.848,8.27308,0.905725,1,508.892,566.242
140,2.21707,11.2505,8.6787,1.04825,0.581381,420.178,653.678
346,1.65403,8.71696,18.1988,1.04825,0.581381,5374.44,6027.37
66,1.16854,8.2497,13.3614,1.04825,0.803079,1673.54,2385.37
306,3.17255,11.0803,9.15695,1.08199,0.820234,671.009,767.807
309,3.99558,10.2579,9.15695,1.08199,0.820234,636.626,767.807
305,2.57047,12.2644,17.9973,1.73795,1,3706.69,5829.37
335,3.55422,6.61055,8.72182,2.60303,1,493.203,663.47
24,1.65403,11.1903,12.4682,1.04825,0.581381,1684.37,1938.26
114,2.96556,11.3328,9.61121,0.96587,0.373775,882.547,887.838
6,4.35271,10.848,8.27308,0.905725,1,499.326,566.242
87,2.65203,12.2644,12.5139,1.73795,0.820234,1645.66,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,550.116,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,413.969,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1658.43,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3394.22,3822.36
100,2.82633,11.3328,9.61121,0.96587,0.497208,776.209,887.838
397,1.4416,11.1326,8.72182,1.73795,1,276.795,663.47
366,3.17255,13.0397,9.74333,1.08199,0.820234,669.819,924.96
267,3.32451,19.4044,15.6355,1.44572,0.663695,3755.59,3822.36
308,3.32451,19.4044,15.4085,1.44572,0.993675,3430.08,3658.34
149,4.35271,10.848,8.27308,0.905725,1,462.798,566.242
196,3.17255,11.0803,9.74331,1.08199,0.820234,752.612,924.954
136,2.57047,12.2644,12.5621,1.73795,1,758.734,1982.37
93,2.65203,7.77025,8.72182,1.73795,1,659.862,663.47
106,1.4416,11.1326,8.72182,1.73795,1,186.598,663.47
402,1.22095,8.26034,9.20362,1.00625,0.444869,269.54,779.606
321,4.35271,10.848,8.27308,0.905725,1,419.21,566.242
347,2.82633,16.1096,9.61121,0.96587,0.535201,782.692,887.838
234,2.82633,11.3328,9.61121,0.96587,0.373775,863.031,887.838
162,1.65403,6.45242,12.4682,1.04825,0.581381,1158.54,1938.26
127,3.17255,11.0803,9.15695,1.08199,0.820234,677.823,767.807
74,1.65403,6.45242,12.4682,1.04825,0.788544,1687.79,1938.26
9,2.0715,14.6642,9.61121,0.494105,0.452841,809.564,887.838
202,2.57047,12.2644,12.5621,1.73795,1,502.132,1982.37
54,1.4416,7.77025,8.72182,1.73795,1,625.603,663.47
73,1.65403,8.71696,12.4682,1.04825,0.581381,1798.36,1938.26
381,4.03769,10.2579,11.4201,1.08199,0.820234,1301.43,1489.38
341,3.34455,12.3964,12.5139,1.73795,0.820234,1535.72,1959.67
104,2.82633,14.6642,9.61121,0.509662,0.373775,630.019,887.838
