id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
95,2.89106,18.6228,8.6787,1.04825,0.581381,422.533,653.678
123,2.84718,18.06,11.3081,1.26059,0.756034,544.705,1445.99
134,2.92007,18.0834,10.3519,0.973522,0.779999,888.732,1109.32
102,1.64861,20.0281,12.7777,0.898893,0.705998,1101.32,2086.2
131,2.82633,14.6642,8.3819,0.96587,0.373775,397.248,588.881
87,2.65203,12.2644,12.5139,1.73795,0.820234,1602.36,1959.67
132,2.92007,9.5224,10.3519,1.10578,0.779999,906.437,1109.32
66,2.83718,19.4044,9.39785,1.05549,0.663695,58.6149,830.015
168,2.62936,17.3054,12.6879,1.00416,1,1754.28,2042.54
24,3.17255,13.0397,9.15695,1.08199,0.919357,672.039,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,546.904,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,1148.16,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,1764.3,2086.2
45,4.34214,6.75444,9.15695,1.08199,0.919357,759.922,767.807
105,2.82633,14.6642,9.61121,0.96587,0.373775,873.745,887.838
14,1.19631,6.20699,4.06818,0.408828,0.158209,16.6101,67.3288
1,3.17255,13.0397,9.15695,1.08199,0.820234,738.634,767.807
159,2.84718,18.06,9.42697,0.998806,1,778.818,837.753
61,2.89106,18.6228,8.24144,1.04825,0.581381,336.833,559.769
122,2.84718,18.06,11.3081,1.26059,0.756034,1062.5,1445.99
65,3.17255,17.1571,9.15695,1.37395,0.820234,723.073,767.807
8,2.83718,11.6786,9.39785,1.05549,0.910334,459.751,830.015
103,1.64861,14.1701,12.7777,0.516979,0.705998,948.759,2086.2
80,3.01681,17.9316,8.62769,0.950916,0.896447,566.474,642.219
116,1.48106,11.6786,9.39785,0.614472,0.910334,633.794,830.015
10,2.62936,17.3054,12.6216,1.00416,1,1833.94,2010.7
117,3.32451,19.4044,10.9062,1.50587,0.663695,1273,1297.22
9,2.0715,14.6642,9.61121,0.494105,0.452841,704.663,887.838
138,3.01681,14.1059,9.15695,0.950916,0.896447,757.947,767.807
79,1.84377,18.0834,8.48111,0.973522,0.779999,54.7514,610.04
25,2.65203,9.1003,12.5139,1.73795,0.820234,1811.75,1959.67
34,2.84718,18.06,11.9032,0.998806,0.756034,688.802,1686.5
5,2.82633,14.6642,8.3819,0.96587,0.728269,584.193,588.881
15,2.89106,18.6228,8.6787,1.04825,0.581381,623.888,653.678
