id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
134,2.92007,18.0834,10.3519,0.973522,0.779999,990.387,1109.32
169,3.67825,18.06,5.79592,0.724099,0.756034,43.3772,194.701
131,2.82633,14.6642,8.3819,0.96587,0.373775,460.887,588.881
87,2.65203,12.2644,12.5139,1.73795,0.820234,1685.47,1959.67
132,2.92007,9.5224,10.3519,1.10578,0.779999,964.2,1109.32
50,2.62936,17.3054,12.6216,0.552644,1,1845.21,2010.7
95,2.89106,18.6228,8.6787,1.04825,0.581381,638.347,653.678
24,3.17255,13.0397,9.15695,1.08199,0.919357,602.248,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,485.82,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,1219.5,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,963.005,2086.2
45,4.34214,6.75444,9.15695,1.08199,0.919357,729.39,767.807
105,2.82633,14.6642,9.61121,0.96587,0.373775,785.034,887.838
14,2.82633,14.6642,9.61121,0.96587,0.373775,818.069,887.838
1,3.17255,13.0397,9.15695,1.08199,0.820234,627.173,767.807
159,2.84718,18.06,9.42697,0.998806,1,448.741,837.753
61,2.89106,18.6228,8.24144,1.04825,0.581381,530.979,559.769
122,2.84718,18.06,11.3081,1.26059,0.756034,449.305,1445.99
65,3.17255,17.1571,9.15695,1.37395,0.820234,418.609,767.807
102,2.64798,11.6786,9.39785,1.05549,0.910334,521.674,830.015
103,1.64861,14.1701,12.7777,0.516979,0.705998,1794.91,2086.2
80,3.01681,17.9316,8.62769,0.950916,0.896447,593.379,642.219
116,1.48106,11.6786,9.39785,0.614472,0.910334,739.042,830.015
10,2.62936,17.3054,12.6216,1.00416,1,1959.98,2010.7
78,2.62936,17.3054,12.6879,1.12083,1,264.201,2042.54
9,2.0715,14.6642,9.61121,0.494105,0.452841,851.57,887.838
138,3.01681,14.1059,9.15695,0.950916,0.896447,636.401,767.807
189,2.44588,8.83307,10.326,0.681859,0.778049,853.348,1101.02
25,2.65203,9.1003,12.5139,1.73795,0.820234,1592.85,1959.67
34,2.84718,18.06,11.9032,0.998806,0.756034,1623.42,1686.5
66,1.76056,11.2505,8.6787,1.04825,0.581381,590.751,653.678
15,2.89106,18.6228,8.6787,1.04825,0.581381,647.058,653.678
