id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
38,4.0615,14.3874,6.38653,0.84513,0.870204,259.977,260.492
134,2.92007,18.0834,10.3519,0.973522,0.779999,941.144,1109.32
102,1.64861,20.0281,12.7777,0.898893,0.705998,1949.29,2086.2
131,2.82633,14.6642,8.3819,0.96587,0.373775,558.094,588.881
87,2.65203,12.2644,12.5139,1.73795,0.820234,1585.94,1959.67
13,3.20123,13.0397,9.15695,1.08199,0.820234,445.177,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,707.226,830.015
21,2.25868,17.573,8.27308,1.45594,0.919192,37.2282,566.242
24,3.17255,13.0397,9.15695,1.08199,0.919357,659.364,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,481.062,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,1255.5,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,1711.45,2086.2
45,4.34214,6.75444,9.15695,1.08199,0.919357,655.387,767.807
105,2.82633,14.6642,9.61121,0.96587,0.373775,800.512,887.838
127,3.01681,13.7201,9.15695,0.950916,0.896447,443.465,767.807
1,3.17255,13.0397,9.15695,1.08199,0.820234,160.582,767.807
168,1.7524,16.7465,8.06082,0.925278,0.567837,3.6289,523.767
61,2.89106,18.6228,8.24144,1.04825,0.581381,485.909,559.769
122,2.84718,18.06,11.3081,1.26059,0.756034,1148.42,1445.99
159,4.35271,15.419,8.27308,0.905725,0.932597,541.083,566.242
8,2.83718,11.6786,9.39785,1.05549,0.910334,706.163,830.015
103,1.64861,14.1701,12.7777,0.516979,0.705998,1968.39,2086.2
123,3.01681,14.1059,9.15695,0.950916,0.896447,439.594,767.807
29,4.35271,15.419,7.72732,0.987394,0.932597,164.483,461.41
10,2.62936,17.3054,12.6216,1.00416,1,1675.11,2010.7
117,3.32451,19.4044,10.9062,1.50587,0.663695,1243.39,1297.22
9,1.36479,9.66139,6.33226,0.325537,0.29835,230.516,253.908
138,3.01681,14.1059,9.15695,0.950916,0.896447,616.076,767.807
79,1.84377,18.0834,8.48111,0.973522,0.779999,511.284,610.04
164,2.94796,13.0397,12.5139,1.08199,0.820234,542.65,1959.67
34,2.84718,18.06,11.9032,0.998806,0.756034,1444.53,1686.5
5,2.82633,14.6642,8.3819,0.96587,0.728269,515.898,588.881
15,2.89106,18.6228,8.6787,1.04825,0.581381,641.135,653.678
