id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
335,3.1562,15.7108,8.83014,1.31165,0.610998,516.25,688.497
346,1.49671,7.88781,16.4677,0.948541,0.526081,3515.38,4465.83
66,1.16854,8.2497,13.3614,1.04825,0.803079,2167.66,2385.37
306,3.17255,11.0803,9.15695,1.08199,0.820234,523.908,767.807
309,3.99558,10.2579,9.15695,1.08199,0.820234,464.146,767.807
305,2.57047,12.2644,17.9973,1.73795,1,5120.36,5829.37
304,2.50044,12.2644,7.48937,1.01283,1,134.742,420.083
24,1.65403,11.1903,12.4682,1.04825,0.581381,1586.83,1938.26
114,2.96556,11.3328,9.61121,0.96587,0.373775,791.233,887.838
6,4.35271,10.848,8.27308,0.905725,1,540.765,566.242
87,2.65203,12.2644,12.5139,1.73795,0.820234,1612.32,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,694.975,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,513.522,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1633.03,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3273.65,3822.36
100,2.82633,11.3328,9.61121,0.96587,0.497208,854.074,887.838
46,1.65403,11.1903,12.4682,1.04825,0.602667,630.756,1938.26
196,3.32451,19.4044,10.9062,1.44572,0.663695,103.251,1297.22
267,3.32451,19.4044,15.6355,1.44572,0.663695,3814.62,3822.36
308,3.32451,19.4044,15.4085,1.44572,0.993675,3399.77,3658.34
149,4.35271,10.848,8.27308,0.905725,1,562.866,566.242
140,1.76056,7.73381,10.6787,1.04825,0.581381,105.421,1217.76
136,2.57047,12.2644,12.5621,1.73795,1,1774.57,1982.37
93,2.65203,7.77025,8.72182,1.73795,1,579.809,663.47
106,1.4416,11.1326,8.72182,1.73795,1,548.285,663.47
158,1.76056,11.2505,10.6787,1.04825,0.581381,409.43,1217.76
321,4.35271,10.848,8.27308,0.905725,1,303.948,566.242
347,2.38882,13.6158,8.1234,0.816354,0.452352,210.873,536.06
234,2.82633,11.3328,9.61121,0.96587,0.373775,767.941,887.838
162,1.65403,6.45242,12.4682,1.04825,0.581381,1891.39,1938.26
127,3.17255,11.0803,9.15695,1.08199,0.820234,642.351,767.807
74,1.65403,6.45242,12.4682,1.04825,0.788544,1641.89,1938.26
9,2.0715,14.6642,9.61121,0.494105,0.452841,779.953,887.838
202,2.57047,12.2644,12.5621,1.73795,1,1843,1982.37
54,1.4416,7.77025,8.72182,1.73795,1,639.018,663.47
73,1.65403,8.71696,12.4682,1.04825,0.581381,1822.33,1938.26
261,3.99558,11.0803,9.15695,1.08199,0.820234,461.625,767.807
341,3.34455,12.3964,12.5139,1.73795,0.820234,1889.26,1959.67
104,2.82633,14.6642,9.61121,0.509662,0.373775,603.683,887.838
