id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
168,2.92007,18.0834,10.6061,0.973522,0.779999,1064.55,1193.06
162,2.56671,18.7528,9.15695,1.08199,0.820234,753.257,767.807
136,3.05096,20.8909,10.1456,0.905748,0.593947,662.685,1044.32
145,1.63877,19.4044,8.44824,0.67489,0.663695,304.242,602.975
17,2.17835,15.419,8.27308,0.947477,0.682185,10.5568,566.242
133,3.17255,13.0397,12.5139,1.08199,0.820234,1690.12,1959.67
152,3.00766,19.0906,8.19613,0.900854,0.697295,538.527,550.588
134,2.83718,19.4044,8.44824,1.05549,0.663695,154.834,602.975
138,3.01681,14.1059,9.15695,0.950916,0.896447,745.672,767.807
67,2.92007,12.6681,7.66888,0.973522,1,344.092,451.02
60,2.49347,19.2208,8.09506,1.0257,0.677264,211.756,530.469
77,3.428,18.6228,8.6787,1.04825,0.581381,624.007,653.678
72,3.26984,20.0281,12.7777,0.984656,0.723886,1733.87,2086.2
118,3.99118,21.1988,7.40058,1.04825,1,397.07,405.319
18,3.2858,15.419,8.27308,0.905725,0.682185,524.733,566.242
119,2.92007,16.2256,7.66888,0.973522,0.779999,446.85,451.02
161,3.2858,19.8351,8.27308,0.905725,0.982028,7.34598,566.242
90,2.89106,18.6228,8.6787,1.04825,0.581381,605.596,653.678
102,3.05096,20.8909,7.37547,0.905748,0.801977,264.214,401.208
75,2.84718,18.06,8.87625,1.13466,0.757903,512.556,699.34
105,2.84718,18.06,8.87625,1.0336,0.757903,584.267,699.34
153,3.99118,21.1988,10.287,1.04825,1,968.053,1088.59
92,3.00766,13.0925,8.19613,0.606234,0.697295,468.4,550.588
89,1.52852,20.3191,8.3819,0.96587,0.689048,260.219,588.881
51,1.52852,20.3191,8.3819,0.836918,0.689048,473.857,588.881
0,3.17255,13.0397,9.15695,1.08199,0.820234,704.23,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,516.016,830.015
128,3.99118,21.1988,7.40058,1.04825,1,350.714,405.319
50,2.79083,18.6228,8.20902,1.04825,1,432.846,553.189
79,2.96087,17.3054,9.45213,1.00416,0.782491,178.878,844.48
111,2.83718,19.4044,8.44824,1.05549,0.663695,552.031,602.975
109,3.26984,20.0281,12.7777,0.984656,0.723886,1810.53,2086.2
57,3.01681,20.9203,9.15695,1.08199,0.896447,708.047,767.807
56,3.24405,18.06,8.73821,0.933646,0.757903,629.431,667.218
150,3.73263,12.8616,8.73821,0.933646,0.757903,405.373,667.218
53,2.25868,17.573,8.27308,0.905725,0.682185,497.253,566.242
120,2.35494,18.8015,12.3545,1.02006,0.571514,1181.14,1885.7
122,2.73302,17.3358,7.42804,1.08916,0.727513,18.914,409.848
65,2.49347,19.2208,8.09506,1.0257,0.677264,289.15,530.469
159,4.35271,15.419,8.27308,0.905725,0.932597,125.8,566.242
115,2.83718,19.4044,8.44824,1.05549,0.663695,253.486,602.975
61,2.79083,18.6228,8.20902,1.04825,0.772264,113.451,553.189
108,3.01681,10.7746,9.15695,0.787224,0.896447,330.621,767.807
59,2.84718,18.06,8.73821,0.998806,0.757903,599.855,667.218
135,2.92007,16.2256,10.6061,0.973522,0.779999,880.58,1193.06
70,3.00766,19.0906,8.19613,0.9774,0.697295,473.755,550.588
164,1.76106,13.7014,6.4504,0.828052,0.53189,262.937,268.386
64,2.82633,20.3191,8.3819,0.96587,0.689048,458.559,588.881
69,3.05752,19.2208,8.09506,1.0257,0.677264,191.243,530.469
165,2.86386,17.3054,9.45213,1.30448,0.954569,80.1786,844.48
131,2.96087,17.3054,9.45213,1.30448,0.954569,795.518,844.48
5,2.82633,14.6642,8.3819,0.96587,0.728269,497.613,588.881
137,2.41184,18.5916,7.83006,1.2539,0.655093,74.6013,480.06
