id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
22,2.46436,12.1169,11.6284,1.22693,0.762189,1179.98,1572.38
26,1.91523,13.0989,4.10333,0.526492,0.376709,20.3094,69.0889
29,3.2858,24.5075,8.27308,0.905725,0.844681,282.86,566.242
79,1.78293,17.4867,8.20123,0.941395,0.754259,225.424,551.616
170,1.68222,13.0397,9.15695,0.863729,0.820234,345.735,767.807
150,2.25868,17.573,8.27308,1.06203,0.919192,508.4,566.242
40,2.84718,18.06,16.9628,0.998806,0.756034,3611.27,4880.81
117,1.89997,14.7821,6.95919,1.12056,0.573844,126.152,337.036
134,2.92007,18.0834,10.3519,0.973522,0.779999,1054.32,1109.32
102,1.64861,20.0281,12.7777,0.898893,0.705998,1722.71,2086.2
131,2.82633,14.6642,8.3819,0.96587,0.373775,551.53,588.881
67,2.92007,12.6681,7.66888,0.973522,1,155.697,451.02
0,3.17255,13.0397,9.15695,1.08199,0.820234,764.789,767.807
66,2.83718,19.4044,9.39785,1.05549,0.663695,658.723,830.015
7,2.38508,17.4257,8.50895,1.00542,0.762189,376.887,616.066
24,3.17255,13.0397,9.15695,1.08199,0.919357,683.708,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,554.885,566.242
57,3.32451,19.4044,10.9062,1.50587,0.663695,949.632,1297.22
109,3.26984,20.0281,12.7777,0.984656,0.723886,1772.3,2086.2
133,3.17255,13.0397,12.5139,1.08199,0.820234,1828.39,1959.67
105,1.88877,9.79973,6.42293,0.645467,0.249784,227.746,264.971
90,2.89106,18.6228,8.6787,1.04825,0.581381,572.844,653.678
173,2.84718,18.06,11.9032,0.998806,0.692055,1165.4,1686.5
132,3.17255,13.0397,12.5139,1.08199,0.820234,1595.78,1959.67
18,3.2858,15.419,8.27308,0.905725,0.682185,468.932,566.242
30,1.52852,19.2541,8.3819,0.96587,0.876734,449.078,588.881
159,4.35271,15.419,8.27308,0.905725,0.932597,497.597,566.242
98,2.62936,17.3054,9.45213,1.00416,1,806.28,844.48
9,3.00766,19.0906,8.19613,0.9774,0.697295,292.244,550.588
123,3.01681,14.1059,9.15695,0.950916,0.896447,724.139,767.807
48,3.2858,18.4407,8.27308,0.905725,0.844681,512.756,566.242
60,2.62936,17.3054,12.6216,1.00416,1,2008.14,2010.7
61,3.17255,13.0397,9.15695,1.08199,0.919357,624.759,767.807
164,2.25868,17.573,8.27308,1.06203,0.682185,555.246,566.242
138,3.01681,14.1059,9.15695,0.950916,0.896447,700.595,767.807
97,1.52852,20.3191,8.3819,0.96587,0.689048,583.411,588.881
162,2.56671,18.7528,9.15695,1.08199,0.820234,158.272,767.807
34,2.84718,18.06,11.9032,0.998806,0.756034,1585.83,1686.5
5,2.82633,14.6642,8.3819,0.96587,0.728269,513.397,588.881
15,2.89106,18.6228,8.6787,1.04825,0.581381,624.062,653.678
