id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
156,0.967414,3.7739,7.29241,0.613101,0.340039,376.755,387.806
54,1.4416,7.77025,8.72182,1.73795,1,640.376,663.47
73,1.49422,7.87473,11.2635,0.946969,0.525209,1156.23,1428.97
257,3.99558,11.0803,9.15695,1.08199,0.820234,761.521,767.807
149,4.35271,10.848,8.27308,0.905725,1,469.244,566.242
104,1.10587,5.73774,3.76062,0.199418,0.146249,35.7791,53.1838
217,1.65872,12.4933,17.9143,1.73795,1,2391.03,5749.13
202,2.57047,12.2644,12.5621,1.73795,1,1607.78,1982.37
242,2.82633,14.6642,8.3819,0.96587,0.373775,397.437,588.881
237,1.65872,12.2644,17.9143,1.73795,0.820234,2749.72,5749.13
162,1.65403,6.45242,12.4682,1.04825,0.581381,1389.48,1938.26
264,1.4781,7.50059,5.78602,0.698859,0.229803,144.309,193.704
136,2.57047,12.2644,12.5621,1.73795,1,1756.96,1982.37
24,1.65403,11.1903,12.4682,1.04825,0.581381,1589.77,1938.26
169,3.67825,18.06,5.79592,0.724099,0.756034,66.3768,194.701
243,4.64828,6.75444,17.2628,1.08199,0.998248,2163.67,5144.37
87,2.65203,12.2644,12.5139,1.73795,0.820234,403.051,1959.67
213,3.17255,13.0397,9.15695,1.08199,0.820234,607.255,767.807
175,2.21707,11.2505,8.6787,1.04825,0.581381,550.727,653.678
250,1.11194,8.2497,12.4682,1.04825,0.581381,1712.63,1938.26
142,3.32451,19.4044,15.6355,1.44572,0.663695,3217.5,3822.36
100,2.82633,11.3328,9.61121,0.96587,0.497208,833.861,887.838
57,3.32451,10.3808,10.9062,1.44572,0.848766,368.553,1297.22
196,3.32451,19.4044,10.9062,1.44572,0.663695,451.654,1297.22
267,3.32451,19.4044,15.6355,1.44572,0.663695,3755.59,3822.36
105,2.82633,14.6642,9.61121,0.96587,0.373775,789.192,887.838
14,2.82633,14.6642,9.61121,0.96587,0.373775,478.185,887.838
140,1.59045,6.98658,9.64697,0.946969,0.525209,849.368,897.787
106,4.35271,10.848,8.27308,0.905725,0.798763,486.228,566.242
235,3.32451,14.1875,13.5622,1.44572,0.873314,526.89,2494.54
3,3.8491,9.1003,12.5139,1.73795,1,1621.02,1959.67
158,1.76056,11.2505,10.6787,1.04825,0.581381,1040.02,1217.76
251,2.65203,7.77025,8.72182,1.73795,0.820234,538.236,663.47
101,3.8491,9.1003,12.5139,1.73795,0.755269,1217.93,1959.67
234,2.82633,11.3328,9.61121,0.96587,0.373775,622.457,887.838
160,3.45231,9.28508,12.5139,2.11406,0.906058,1072.11,1959.67
127,3.17255,11.0803,9.15695,1.08199,0.820234,765.803,767.807
174,3.78782,9.81995,4.8987,1.08199,0.919357,98.1443,117.555
9,2.0715,14.6642,9.61121,0.494105,0.452841,577.957,887.838
139,5.38534,6.75444,17.2628,1.08199,0.998248,2323.81,5144.37
247,2.92007,18.0834,12.0828,0.973522,0.840579,110.533,1764.02
233,1.25169,6.41852,5.44347,0.547037,0.280843,68.484,161.298
207,1.18077,6.12634,4.01532,0.474535,0.156154,19.888,64.7382
66,1.76056,11.2505,8.6787,1.04825,0.581381,576.034,653.678
261,2.66742,13.8397,6.41059,0.911564,0.352759,148.459,263.448
