id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
109,2.29517,7.4846,8.13657,0.869139,0.613079,522.643,538.671
159,3.01681,17.4435,9.15695,0.950916,0.979555,317.998,767.807
200,3.85864,9.81995,9.15695,1.08199,0.919357,701.202,767.807
205,2.03321,15.4536,4.32564,0.724099,0.690687,66.2754,80.938
134,2.92007,18.0834,10.3519,0.973522,0.779999,809.251,1109.32
169,3.67825,18.06,5.79592,0.724099,0.756034,178.085,194.701
131,2.82633,14.6642,8.3819,0.96587,0.373775,547.779,588.881
87,2.65203,12.2644,12.5139,1.73795,0.820234,1825.8,1959.67
132,2.92007,9.5224,10.3519,1.10578,0.779999,870.014,1109.32
50,2.62936,17.3054,12.6216,0.552644,1,1627.97,2010.7
95,2.89106,18.6228,8.6787,1.04825,0.581381,610.299,653.678
24,3.17255,13.0397,9.15695,1.08199,0.919357,413.908,767.807
64,4.35271,10.848,8.27308,0.905725,0.932597,331.728,566.242
106,3.18164,6.75444,12.8664,1.08199,0.919357,1907.24,2129.95
196,3.32451,19.4044,10.9062,1.44572,0.663695,400.034,1297.22
45,4.34214,6.75444,9.15695,1.08199,0.919357,716.854,767.807
105,2.82633,14.6642,9.61121,0.96587,0.373775,794.043,887.838
14,2.82633,14.6642,9.61121,0.96587,0.373775,776.717,887.838
1,3.17255,13.0397,9.15695,1.08199,0.820234,671.234,767.807
202,4.35271,10.848,8.27308,0.905725,0.932597,557.187,566.242
61,2.89106,18.6228,8.24144,1.04825,0.581381,128.742,559.769
73,3.8491,9.1003,12.5139,1.73795,0.755269,736.13,1959.67
65,3.17255,17.1571,9.15695,1.37395,0.820234,615.677,767.807
102,2.64798,11.6786,9.39785,1.05549,0.910334,705.972,830.015
103,1.64861,14.1701,12.7777,0.516979,0.705998,211.245,2086.2
80,3.01681,17.9316,8.62769,0.950916,0.896447,285.986,642.219
116,1.48106,11.6786,9.39785,0.614472,0.910334,729.241,830.015
10,2.62936,17.3054,12.6216,1.00416,1,1595.18,2010.7
27,3.17255,9.81995,9.15695,1.08199,0.919357,360.799,767.807
9,2.0715,14.6642,9.61121,0.494105,0.452841,879.804,887.838
138,3.01681,14.1059,9.15695,0.950916,0.896447,646.06,767.807
189,2.45201,8.85522,10.3519,0.683568,0.779999,247.025,1109.32
209,1.88669,8.73387,11.7584,1.66797,0.787206,327.727,1625.71
78,2.54525,7.45737,12.0101,1.66797,0.787206,349.108,1732.35
66,1.76056,11.2505,8.6787,1.04825,0.581381,645.558,653.678
15,2.89106,18.6228,8.6787,1.04825,0.581381,35.7955,653.678
