id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
1024,10.9352,0.0975607,1.38189,0.999163,0.518329,1178.86
1023,26.8674,0.0959617,1.14429,0.268586,364.982,366.976
343,17.7118,0.0741053,1.7867,0.207499,52.2053,52.5678
1020,15.2405,0.117818,1.22339,0.402519,194.143,226.476
1019,11.6599,0.105055,1.22339,0.276579,34.8076,34.9876
66,10.8788,0.146125,1.22339,0.339967,48.9628,49.1703
1017,10.5186,0.0636034,1.00074,0.336325,45.4794,54.2321
1016,11.5093,0.0899386,1.58065,0.207976,19.4154,19.5365
1015,11.5096,0.0210541,1.58065,0.208074,13.5715,21.042
1014,11.5093,0.0314367,1.58065,0.207976,20.0483,20.7923
1013,16.8963,0.0522464,1.58065,0.280478,140.829,141.504
239,16.8963,0.0522464,1.58065,0.207976,63.9728,64.3718
1011,19.9029,0.0731054,1.85632,0.135694,45.2962,45.667
1010,10.3709,0.0780905,0.916319,0.807032,107.429,647.326
1009,22.1985,0.0717482,1.7957,0.206897,171.151,172.154
1008,11.5321,0.0768367,1.7957,0.206897,23.864,24.0039
1018,19.9029,0.069897,0.949139,0.159673,44.6994,45.0674
1007,9.39079,0.143742,1.71572,0.499805,124.067,124.4
172,14.1628,0.0605688,0.99041,0.535999,361.924,582.241
1005,9.78125,0.157349,1.26168,0.483111,133.434,133.796
1004,5.74822,0.0852373,1.26168,0.483111,14.3845,29.4796
1003,17.302,0.0898942,0.99041,0.378486,441.075,442.534
1002,11.6599,0.0929673,0.991723,0.262948,56.238,56.4868
999,11.5093,0.034714,1.17298,0.207976,36.2561,36.4433
998,17.302,0.0768367,1.43329,0.104598,36.6114,36.8908
997,8.70672,0.0628365,0.986096,1,44.2603,618.556
996,11.111,0.0765658,0.986096,1,139.233,1266.68
995,13.3244,0.0729256,1.26838,1,1343.04,2193.07
994,9.70378,0.0845816,2.06442,0.282748,45.4457,45.6259
993,12.2442,0.0718946,1.58065,0.282748,92.5637,92.9308
992,12.2442,0.0718946,1.58065,0.282748,92.5637,92.9308
991,13.9236,0.0676687,1.22339,0.229515,91.6923,92.1078
942,12.408,0.135324,2.06438,0.199183,46.2612,46.49
987,6.66834,0.0731054,1.04591,0.207976,9.00406,9.04633
339,11.6599,0.125836,2.2969,0.255144,69.9888,70.2732
79,11.6599,0.12023,2.2969,0.366641,155.336,155.821
986,15.2405,0.0336749,1.71656,0.474349,393.966,789.3
686,13.0893,0.121692,1.91757,0.309337,182.3,182.905
289,12.408,0.121692,1.13309,0.309337,155.288,155.803
984,11.6599,0.105055,1.06639,0.326713,158.58,159.074
983,9.32454,0.105055,2.00721,0.30308,70.6605,70.8912
982,8.97685,0.0768367,1.22339,0.212595,33.8524,33.9898
685,16.8997,0.0330707,1.04484,0.416496,509.788,891.841
980,13.6952,0.0768367,1.7867,0.119548,54.6325,54.921
979,11.5093,0.0443665,1.58065,0.207976,78.675,78.9877
978,12.6349,0.0636034,0.601092,0.214271,107.592,108.012
977,17.302,0.0818827,1.45053,0.490187,1390.21,1393.35
70,14.6308,0.121692,1.41916,0.472857,744.524,746.252
975,13.6952,0.0768367,1.15604,0.119548,80.6886,81.0627
192,7.97014,0.0768367,1.7867,0.119548,15.9039,15.9776
974,10.2034,0.0718946,1.46986,0.359094,192.962,195.959
958,12.4963,0.0578486,1.16597,0.211385,151.737,152.26
208,14.2493,0.0841511,1.41402,0.762338,928.236,2601.05
915,9.56359,0.0662682,1.14753,0.59162,249.449,497.38
675,12.408,0.121692,1.91757,0.238078,219.411,220.06
970,20.1724,0.0964514,1.32901,0.688125,3656.78,6750.92
969,11.6599,0.121692,1.54377,0.390103,424.597,425.544
968,8.66345,0.105055,1.07762,0.201768,66.7048,66.911
967,6.68952,0.108785,1.07762,0.402167,81.2342,86.3785
965,7.02877,0.0963758,2.108,1,103.258,313.78
964,9.86522,0.0963758,1.47522,1,372.851,867.577
963,11.6599,0.105055,1.22339,0.470247,642.707,645.771
962,17.302,0.0768367,1.22339,0.158528,462.476,463.989
961,22.6039,0.111576,1.22339,0.14449,904.107,907.158
960,11.5093,0.0522464,1.41922,0.207976,187.538,194.477
789,11.5093,0.0522464,1.77887,0.207976,187.538,194.477
959,9.72184,0.0934685,1.02348,0.454511,352.139,375.866
951,15.2405,0.107807,1.22339,0.195101,420.437,421.674
956,17.302,0.0788618,1.22339,0.294173,1094.56,1097.24
955,10.6001,0.0636034,1.00074,0.367409,301.939,362.269
954,8.89784,0.0296784,1.01132,0.367409,54.5203,222.032
953,10.5186,0.0636034,1.00074,0.238007,184.07,189.345
957,10.5186,0.0636034,1.00074,0.24803,190.394,197.106
950,12.408,0.121692,1.99797,0.238078,323.282,324.122
949,12.408,0.143296,2.64272,0.238078,315.33,316.149
948,11.6599,0.0885274,1.60499,0.480446,548.81,802.339
947,11.6599,0.105055,1.22339,0.326713,423.279,424.23
209,11.6599,0.105055,1.22339,0.326713,423.279,424.23
743,17.302,0.0670531,1.97558,0.390103,1816.21,1994.91
142,12.408,0.121692,1.69109,0.429692,815.334,816.891
43,10.6426,0.121692,0.866316,0.390103,446.838,447.732
941,10.7305,0.0738729,0.796982,0.730128,697.245,1144.28
940,13.6985,0.124844,0.959147,0.787089,2103.72,2249.61
939,11.5093,0.0522464,2.34482,0.207976,271.529,317.561
938,11.5093,0.0522464,2.34482,0.232796,294.831,358.377
937,15.8601,0.0731054,1.58065,0.159673,634.467,636.181
936,22.6251,0.0768367,1.5915,0.268586,3138.37,3145.46
935,10.5257,0.0663626,1.00074,0.420162,402.367,599.568
934,10.2385,0.0427459,2.33578,0.207976,153.264,231.458
933,11.5093,0.0427459,2.33578,0.311083,302.08,525.843
932,11.5093,0.0427459,2.33578,0.197302,230.693,311.782
931,11.5093,0.039318,2.14182,0.207976,221.701,329.961
930,12.408,0.121692,1.41916,0.390103,829.136,830.71
234,27.8657,0.155137,1.11874,0.390103,9188.97,9206.32
929,13.5718,0.0731054,1.3052,0.12089,348.665,349.649
928,9.27013,0.0731054,1.58065,0.104814,104.312,104.613
927,17.3312,0.0768367,1.22339,0.119548,740.248,742.321
926,6.82186,0.105233,1.07762,0.499805,107.586,223.228
925,12.9158,0.105055,0.597778,0.499805,1398.36,1515.28
924,23.3017,0.0731054,1.58065,0.140667,2150.92,2156.6
923,15.8601,0.0731054,1.58065,0.192456,881.115,883.249
722,15.7657,0.0964514,0.925784,0.975471,1510.87,3540.73
473,13.9502,0.113454,1.79629,0.522125,1641.11,2077.4
788,15.8601,0.0888523,2.30617,0.0977794,581.272,582.88
919,17.302,0.0608632,1.2456,0.225626,1398.7,1493.52
918,20.1799,0.109391,1.82483,0.104598,1296.35,1299.81
917,6.26728,0.102914,1.22339,0.522932,79.6708,214.233
916,15.3539,0.17959,1.91757,0.238078,1038.66,1040.88
972,8.51007,0.0948292,1.72159,0.394029,166.867,170.831
83,11.977,0.0729736,1.22339,0.252797,548.06,603.93
913,6.26309,0.0768367,1.22339,0.268586,48.2324,100.185
912,10.5186,0.0636034,1.00074,0.427796,354.085,856.35
911,10.5186,0.0636034,1.45319,0.336325,329.443,626.103
910,17.302,0.0670531,0.99041,0.319166,1812.85,2631.98
909,17.3312,0.0768367,1.22339,0.137341,1232.5,1235.41
908,12.7397,0.0445967,1.45588,0.235703,499.031,788.232
907,11.6599,0.102914,1.22339,0.390103,813.605,1047.45
906,11.1386,0.119646,1.22339,0.390103,867.397,896.119
905,11.4211,0.119646,1.22339,0.390103,937.765,966.037
229,17.4433,0.176393,1.23994,0.390103,3230.43,3235.8
700,10.9352,0.0975607,0.989006,0.73411,940.691,1180.05
902,14.0702,0.118451,0.944557,0.403798,1956.84,2018.78
856,10.5186,0.0332134,1.50173,0.336536,112.026,746.119
900,16.5674,0.121692,1.41916,0.429692,3194.33,3692.67
899,13.9236,0.0864269,1.22339,0.229515,1114.37,1163.58
898,11.5093,0.0568701,2.34482,0.125723,359.807,441.673
897,11.5093,0.0522464,2.34482,0.125723,338.874,443.838
896,11.5093,0.0522464,2.34482,0.125723,338.874,443.838
895,12.2694,0.0662682,1.00074,0.757417,986.219,1724.62
894,10.5186,0.0705054,1.00074,0.59162,686.073,1081.74
893,10.2663,0.0360539,1.00074,0.385103,128.437,858.342
63,14.5849,0.0975855,1.07762,0.655061,2620.95,2799.76
243,12.9422,0.0372719,1.55711,1,1668.2,2087.02
889,12.2442,0.0718946,1.58065,0.282748,775.197,1226.52
888,8.36704,0.0718946,2.04594,0.419065,160.505,543.642
213,12.2442,0.0363638,1.58065,0.371749,345.218,1691.78
887,11.5093,0.0731054,1.58065,0.207976,493.262,818.204
886,11.5093,0.0731054,1.58065,0.207976,644.006,818.204
885,16.2526,0.0522464,1.58065,0.207976,1381.34,2355.83
884,11.5093,0.0767318,1.58065,0.207976,589.261,815.003
883,11.5093,0.0756281,0.863269,0.196025,568.983,781.376
384,11.5093,0.043509,1.58065,0.306681,370.977,1181.23
702,11.5093,0.043509,1.58065,0.207976,336.809,844.33
881,10.3213,0.0997477,1.35798,0.30308,639.371,867.772
880,13.9826,0.152147,0.906996,0.579793,2317.82,2317.82
879,11.6599,0.121692,1.60499,0.480446,1392.3,1392.3
878,11.4211,0.100776,1.22339,0.22293,876.417,971.503
877,10.078,0.0620126,0.717683,0.391013,522.888,960.117
876,12.9158,0.105055,2.02413,0.29217,1473.24,1849.34
874,12.7397,0.0636034,1.0616,0.235703,889.948,1576.02
863,15.6796,0.0817981,1.04023,0.390103,2794.43,3539.5
71,8.94987,0.0543109,1.22339,0.314922,267.983,677.952
547,15.8601,0.0812599,1.58065,0.0884895,1758.54,2006.12
358,8.95242,0.0888523,1.58065,0.094077,287.666,365.193
872,16.0765,0.0768367,0.830634,0.212595,2578.68,3368.18
871,11.6599,0.0980035,1.07762,1,1429.85,1429.85
870,5.62574,0.0662682,0.715119,0.393652,37.5705,166.25
869,11.6599,0.147046,1.54377,0.312585,1352.11,1352.11
868,13.936,0.0600672,1.58065,0.489044,1289.05,2543.95
867,13.936,0.0600672,1.58065,0.489044,1926.13,2543.95
864,21.4842,0.0768367,1.07636,0.268586,7704.76,9154.54
862,12.3034,0.121692,1.61197,0.297059,1581.43,1635.77
861,21.8619,0.0768367,1.22339,0.104598,5682.56,6929.2
860,8.37621,0.150108,1.22339,0.325198,499.466,499.466
859,23.6299,0.0768367,1.22339,0.119548,7552.29,9378.37
858,11.6599,0.121692,1.60499,0.557486,1392.3,1392.3
857,11.6599,0.133948,1.34309,0.557486,1372.87,1372.87
901,17.3312,0.0768367,1.22339,0.140186,1523.89,1532.44
855,12.7207,0.0936721,0.95693,1,1865.58,1865.58
853,11.6599,0.105055,1.22339,0.216556,1199.69,1418.67
707,19.2876,0.117818,1.11874,0.390103,6329.79,6329.79
852,11.6599,0.105055,1.07762,0.460446,1418.67,1418.67
851,11.6599,0.0674098,1.07762,0.902765,1478.35,1478.35
708,13.9459,0.109164,0.834855,0.963352,2416.25,2416.25
849,13.6952,0.0457639,1.7867,0.0930686,920.298,2026.56
848,13.6952,0.0768367,1.7867,0.119548,1415.04,2131.24
847,9.8472,0.108657,1.58598,0.820986,851.105,851.105
846,10.8788,0.121692,1.40115,0.289856,1130.82,1130.82
845,14.7957,0.0418311,1.23966,0.260799,1319.35,3103.45
844,17.302,0.0608632,1.2456,0.259516,3268.86,4864.3
843,17.302,0.0869144,1.476,0.197285,3987.75,4729.37
842,17.302,0.0941982,1.476,0.294173,4691.64,4691.64
989,12.7397,0.0891685,1.00074,0.235703,94.778,95.1636
840,9.79041,0.0934397,0.987336,0.698093,850.744,850.744
839,11.6532,0.0768367,1.22339,0.191097,1008.92,1460.88
838,10.6041,0.109164,0.820595,0.963352,1062.22,1062.22
206,10.6041,0.109164,0.820595,0.963352,1062.22,1062.22
836,13.6952,0.0501784,1.7867,0.119548,1109.71,2439.77
835,19.2791,0.105608,1.7867,0.149221,5891,6408.93
834,14.9042,0.0548736,1.12803,0.521824,2599.88,3129.1
833,14.4757,0.122372,1.07762,0.483111,2662.15,2662.15
832,10.3571,0.0669113,1.58065,0.691745,834.691,1036.67
945,17.302,0.0768367,1.22339,0.307993,1455.64,1460.73
792,10.091,0.121692,1.08385,0.332788,902.505,902.505
830,8.66116,0.121692,1.22339,0.390103,570.657,570.657
829,11.6599,0.149748,1.33695,0.47658,1347.82,1347.82
828,11.6599,0.202916,1.22339,0.252745,1263.54,1263.54
827,17.4433,0.141756,1.53141,0.390103,4555.1,4555.1
826,15.2405,0.117818,1.22339,0.390103,3122.88,3122.88
825,11.6599,0.108723,1.22339,0.390103,1412.86,1412.86
822,10.0381,0.106965,0.944557,0.403798,903.285,903.285
821,6.91643,0.0856579,0.889582,0.403798,238.904,302.52
820,15.8601,0.0888523,1.58065,0.0977794,3041.61,3635.04
819,15.7657,0.142176,0.916319,0.408208,3361.55,3361.55
818,17.302,0.0768367,0.902573,0.14449,3911.27,4781.57
817,9.72184,0.0934685,1.10557,0.662675,798.216,832.967
816,11.3397,0.0731054,1.58065,0.104814,891.048,1351.55
815,17.3312,0.0768367,1.22339,0.119548,3983.84,4805.81
814,14.7957,0.0765024,1.95469,0.266032,2578.99,2991.16
813,17.302,0.0768367,0.612686,0.0829258,3786.8,4781.57
811,17.302,0.0768367,1.50659,0.268586,4709.31,4781.57
810,15.8644,0.0723488,1.71656,0.390103,3455.66,3703.85
497,15.8644,0.0723488,1.20045,0.390103,3703.85,3703.85
808,11.3637,0.0451775,1.17298,0.207976,633.289,1401.14
807,11.5093,0.0522464,2.34482,0.22682,635.846,1444.93
806,11.5093,0.0522464,2.34482,0.207976,636.968,1444.93
805,11.5093,0.0522464,2.34482,0.207976,791.105,1444.93
804,11.5093,0.0640463,1.24375,0.207976,987.184,1426.94
803,16.7005,0.0640463,2.34482,0.207976,3005.92,4359.53
802,7.46591,0.0549437,2.34482,0.207976,116.7,393.283
801,11.5093,0.0549437,3.16305,0.221779,683.806,1440.82
800,14.6332,0.039318,2.33578,0.207976,1043.35,3010.19
799,11.5093,0.039318,2.33578,0.207976,406.36,1464.64
798,11.6599,0.105055,1.07762,0.637875,1418.67,1418.67
797,9.96009,0.121692,1.96264,0.276803,867.836,867.836
796,9.96009,0.109902,1.96264,0.238078,879.484,879.484
795,7.24278,0.121692,1.22339,0.362545,333.705,333.705
794,17.259,0.0401753,1.22339,0.306535,2746.72,4934.46
793,23.4467,0.0768367,1.22339,0.268586,11899.4,11899.4
831,12.408,0.121692,1.41916,0.350939,1677.84,1677.84
791,12.408,0.116079,1.17865,0.238078,1688.56,1688.56
790,12.408,0.121692,1.91757,0.2218,1677.84,1677.84
168,16.1511,0.114821,0.91722,0.816609,3729.42,3729.42
188,10.5186,0.069165,0.873402,0.235703,871.978,1083.3
786,13.936,0.0669113,2.08493,0.489044,2369.18,2525.43
785,16.684,0.121692,1.60499,0.394676,4078.97,4078.97
784,16.684,0.121692,1.60499,0.428071,4078.97,4078.97
783,12.7397,0.0636034,1.00074,0.235703,1605.84,1936.13
782,10.5186,0.0566086,1.20181,0.235703,712.736,1097.91
45,11.5093,0.0731054,1.58065,0.207976,1271.36,1413.13
780,11.2616,0.0894473,1.16087,0.473585,1300.47,1300.47
779,7.53346,0.122645,1.16087,0.390103,375.111,375.111
778,17.3312,0.0768367,0.70408,0.169705,4805.81,4805.81
777,12.1577,0.0636034,1.00074,0.234394,1414.69,1682.74
776,13.9236,0.0676687,1.22339,0.294173,2516.65,2516.65
775,13.9236,0.0676687,1.22339,0.217341,2380.81,2516.65
774,14.8648,0.0718946,1.61536,0.373294,3048.4,3048.4
106,12.6309,0.122279,2.07757,0.254326,1768.71,1768.71
772,17.302,0.0768367,1.7957,0.206897,4781.57,4781.57
215,17.302,0.0768367,1.7957,0.11843,4781.57,4781.57
436,14.5849,0.0975855,1.07762,0.416332,2799.76,2799.76
223,15.2405,0.117818,1.75511,0.195101,3122.88,3122.88
36,11.0775,0.0669113,1.58065,0.390731,1268.39,1268.39
347,10.9497,0.121349,1.07762,0.483111,1153.52,1153.52
771,21.2245,0.0812599,0.992872,0.0977794,8784.2,8784.2
244,15.9934,0.0623071,1.50953,0.206347,3836.07,3836.07
769,20.7009,0.0827742,1.11874,0.390103,8136.56,8136.56
768,8.03627,0.117818,1.42505,0.390103,457.849,457.849
767,12.9158,0.105055,1.93874,0.499805,1928.24,1928.24
766,10.3571,0.0678397,1.42217,0.352345,1035.64,1035.64
