id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
36,7.4238,0.0921906,0.928663,0.914463,143.782,288.249
58,10.8258,0.107838,1.08395,0.88069,1131.95,1131.95
143,10.2338,0.104327,0.534915,0.906838,959.97,959.97
44,10.7549,0.102299,0.925927,0.858021,1116.74,1116.74
63,9.20562,0.106247,0.973881,0.829769,505.808,697.23
157,9.86522,0.0495447,1.04484,0.416496,212.877,912.54
110,9.86522,0.0963758,0.993997,1,867.577,867.577
155,10.9368,0.109962,0.990941,0.806397,1164.33,1164.33
154,10.6906,0.0964514,0.916319,0.833774,1103.96,1103.96
151,6.27249,0.063627,0.983743,0.925165,197.675,231.084
37,10.0874,0.0984838,0.558891,0.880341,925.366,925.366
149,8.36705,0.118055,1.06348,1,516.605,516.605
144,9.78704,0.106565,0.998146,0.766153,837.563,837.563
52,9.22998,0.0951399,0.993463,0.5329,711.516,711.516
68,10.5186,0.10155,0.581448,0.749394,1045.61,1045.61
55,10.5186,0.10155,0.809998,0.749394,1045.61,1045.61
39,9.23269,0.103247,0.905835,0.826574,705.761,705.761
141,10.2034,0.0948292,0.983743,0.816609,961.539,961.539
140,10.9352,0.0975607,0.946546,0.728983,1180.05,1180.05
2,10.4521,0.0958829,0.698043,0.866136,1032.36,1032.36
129,13.243,0.0784373,1.40122,1,2140.34,2140.34
125,10.7254,0.106736,1.04757,0.862816,1102.09,1102.09
27,10.3938,0.100338,0.986096,0.869505,1010.2,1010.2
99,10.0212,0.105781,0.955299,0.867027,899.917,899.917
96,11.6599,0.0980035,1.07762,0.838761,1429.85,1429.85
123,9.20562,0.106247,0.973881,0.829769,697.23,697.23
114,9.86522,0.0963758,0.671185,0.78886,836.154,867.577
107,15.7657,0.0964514,0.916319,0.833774,3540.73,3540.73
73,10.6906,0.0964514,0.980479,0.833774,1103.96,1103.96
94,9.72184,0.0934685,1.02348,0.877308,721.144,832.967
121,8.36705,0.118055,1.06348,0.744034,516.605,516.605
117,10.2565,0.109556,1.06348,0.744034,960.749,960.749
116,9.43487,0.0932363,0.911713,0.810446,606.206,761.556
85,9.78704,0.106565,0.998146,0.766153,837.563,837.563
95,10.5186,0.0662682,1.00074,0.749394,1086.67,1086.67
101,9.0064,0.10155,0.899088,0.749394,543.223,656.368
127,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
113,14.5228,0.0926153,0.952858,0.76491,2779.35,2779.35
49,10.0884,0.121724,0.936413,0.834852,901.784,901.784
1,10.4422,0.114881,0.983743,0.965134,1007.81,1007.81
78,10.3468,0.0957439,1.01387,0.722246,1001.64,1001.64
100,10.2034,0.0948292,0.983743,0.925165,961.539,961.539
71,10.9477,0.0556777,0.921825,0.759126,1133.39,1239.06
62,9.44622,0.0921906,0.842342,0.491387,765.19,765.19
126,10.8258,0.107838,1.08967,0.88069,1131.95,1131.95
93,10.8258,0.107838,1.08967,0.791339,1131.95,1131.95
91,9.19121,0.0946676,1.08683,0.874265,347.535,702.953
98,10.8744,0.136429,1.08117,0.815267,1110.48,1110.48
88,9.86522,0.0963758,1.04484,0.78886,867.577,867.577
87,10.6542,0.0928621,0.699283,0.563719,1097.07,1097.07
86,10.6906,0.0964514,0.916319,0.833774,805.574,1103.96
84,8.36705,0.118055,1.06348,0.744034,516.605,516.605
83,10.6259,0.0936721,0.949751,0.801127,971.122,1087.37
82,14.2574,0.0932363,0.743871,0.810446,2627.94,2627.94
81,9.15297,0.106565,0.998146,0.766153,685.093,685.093
80,10.5186,0.10155,1.00074,0.749394,1045.61,1045.61
166,7.32856,0.15332,1.04757,0.862816,228.699,333.254
167,9.72184,0.0934685,1.02348,0.877308,721.144,832.967
76,10.2034,0.0905654,0.983743,0.726168,966.068,966.068
48,9.01189,0.0911541,1.07668,0.853707,665.177,665.177
47,9.78704,0.106565,0.998146,0.766153,837.563,837.563
46,10.3468,0.0957439,1.01387,0.722246,1001.64,1001.64
45,10.6542,0.108657,0.956475,0.820986,1077.97,1077.97
104,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
43,9.44698,0.101746,0.904288,0.869364,757.317,757.317
42,10.8744,0.0996194,1.08117,0.815267,1157.82,1157.82
41,10.9352,0.0975607,0.946546,0.728983,1180.05,1180.05
40,10.6259,0.0936721,0.949751,0.801127,1087.37,1087.37
142,10.9477,0.0556777,0.921825,0.977553,1239.06,1239.06
38,10.8258,0.107838,1.08967,0.791339,1131.95,1131.95
171,10.4521,0.0788692,1.07509,0.866136,823.812,1051.79
106,13.243,0.0784373,1.07189,0.858785,2140.34,2140.34
35,9.96914,0.104329,1.06816,0.830753,857.561,887.405
34,9.1397,0.0951399,0.993463,0.764009,615.95,690.84
33,10.7549,0.102299,0.925927,0.858021,1116.74,1116.74
32,10.3938,0.100338,0.986096,0.869505,846.418,1010.2
21,9.19121,0.0946676,1.08683,0.874265,327.05,702.953
30,9.69265,0.108195,0.945354,0.841135,812.077,812.077
29,10.6041,0.109164,1.08823,0.787089,1062.22,1062.22
28,9.60798,0.0921906,0.928663,0.724651,805.175,805.175
148,10.2565,0.109556,1.06348,0.744034,960.749,960.749
26,10.7254,0.106736,1.04757,0.862816,1102.09,1102.09
25,10.0884,0.101639,0.936413,0.768898,922.406,922.406
24,10.3979,0.095321,1.07189,0.858785,1017.02,1017.02
112,11.111,0.0765658,0.986096,1,1266.68,1266.68
22,10.9497,0.0980035,1.07762,0.838761,1184.17,1184.17
147,5.23082,0.0934685,1.12301,0.877308,53.8675,129.745
20,10.6773,0.109556,1.06348,0.744034,1083.9,1083.9
19,10.6906,0.0964514,0.916319,0.833774,1103.96,1103.96
146,8.36705,0.118055,1.06348,0.432527,403.349,516.605
139,10.5579,0.0612598,0.952858,0.76491,1104.79,1104.79
16,10.0874,0.0984838,1.06125,0.817212,925.366,925.366
15,10.2034,0.0948292,0.983743,0.726168,961.539,961.539
14,9.86522,0.0963758,1.04484,0.78886,867.577,867.577
13,10.4524,0.0932363,0.911713,0.810446,1035.48,1035.48
12,10.9368,0.109962,0.990941,0.806397,1164.33,1164.33
11,9.83405,0.0973713,0.986408,0.870336,858.433,858.433
10,10.5186,0.10155,1.00074,0.749394,1045.61,1045.61
163,11.6599,0.105055,1.07762,0.637875,1418.67,1418.67
8,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
7,10.7638,0.0926153,0.952858,0.76491,1131.59,1131.59
6,10.9876,0.103143,0.963467,0.779679,1189.67,1189.67
156,10.6542,0.108657,1.41064,0.820986,1077.97,1077.97
4,10.9477,0.10606,0.921825,0.748017,1172.95,1172.95
3,10.4521,0.0958829,1.07509,0.866136,1032.36,1032.36
124,10.6041,0.109164,1.08823,0.787089,1062.22,1062.22
97,10.2338,0.104327,1.05437,0.818591,959.97,959.97
103,9.01189,0.0911541,1.02687,0.853707,665.177,665.177
