id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
371,10.0381,0.106965,1.12911,0.26513,18.304,18.4049
158,8.64803,0.105055,1.71572,0.499805,70.6491,94.3743
2,9.80892,0.105055,1.71572,0.499805,108.788,137.71
399,11.5093,0.0522464,1.58065,0.207976,67.1209,67.4014
398,12.2694,0.0777805,1.00074,0.481328,396.994,445.121
396,10.4422,0.0996779,0.857648,0.640826,219.039,544.443
393,17.302,0.0768367,1.22339,0.14449,197.186,198.043
392,10.5186,0.0662682,1.00074,0.59162,173.645,632.911
390,10.5186,0.0662682,0.699591,0.60473,346.805,663.188
109,13.9236,0.0676687,1.22339,0.294173,467.717,468.948
33,10.2034,0.0948292,0.764256,0.448768,375.081,385.339
388,12.408,0.121692,1.41916,0.390103,594.456,595.717
387,11.6599,0.0563226,1.55711,1,391.469,1495.92
384,11.111,0.103758,1.26603,0.802511,744.577,1229.38
383,11.6599,0.145603,1.22339,0.522125,777.14,912.4
261,11.1384,0.0948292,0.983743,0.574743,775.041,1046.37
382,10.0381,0.106965,0.944557,0.403798,439.17,449.253
378,10.5186,0.113268,0.766458,0.749394,995.834,1031.97
380,10.6542,0.108657,1.30221,0.604742,737.862,1077.97
246,10.5186,0.083238,1.377,0.749394,628.274,1066.92
304,9.35282,0.0980195,0.835094,0.890069,553.488,737.946
377,17.302,0.0768367,1.07636,0.268586,2232.09,2421.51
376,10.5186,0.0391951,1.00074,0.804163,335.614,1118.17
375,6.94286,0.0728935,1.00074,0.235703,83.4728,149.062
374,11.6599,0.121692,1.60499,0.480446,1172.83,1392.3
373,15.0289,0.121692,1.60499,0.390103,2486.22,2885.05
372,15.8601,0.0731054,1.58065,0.159673,1527.57,1666.41
385,4.52747,0.105055,1.22339,0.642594,11.674,26.7064
370,15.2405,0.0436335,1.71656,0.390103,1095.43,3385.49
369,15.2405,0.0723488,1.71656,0.390103,1980.61,3283.83
368,11.6599,0.0812417,0.698368,0.470247,1186.94,1456.42
367,12.9158,0.105055,1.35798,0.30308,1303.07,1594.32
365,12.9799,0.0637179,0.986408,0.661193,1564.14,2047.49
364,10.2034,0.0718946,0.910721,0.307628,554.055,901.555
363,11.6599,0.108411,1.22339,0.462692,1413.35,1413.35
362,10.4521,0.0788692,1.27638,0.866136,865.636,1051.79
361,10.4521,0.0505244,1.07509,0.866136,828.796,1084.15
360,10.3468,0.141757,1.01387,0.722246,950.674,950.674
359,10.5186,0.0636034,1.00074,0.235703,483.373,984.493
358,10.6906,0.0964514,1.20281,0.993446,1103.96,1103.96
357,11.385,0.109943,0.705272,0.435772,1261.9,1313.44
356,20.6864,0.0975855,1.07762,0.655061,7988.38,7988.38
355,10.0381,0.0856579,0.944557,0.403798,759.643,924.836
353,11.6599,0.105055,1.22339,0.326713,1418.67,1418.67
352,10.8788,0.121692,0.683465,0.390103,1130.82,1130.82
324,8.52712,0.105055,1.07762,0.637875,554.886,554.886
30,10.5257,0.0663626,1.00074,0.420162,955.745,1088.76
351,14.8383,0.105055,1.22339,0.470247,2923.83,2923.83
349,10.3571,0.0669113,1.58065,0.508844,912.02,1036.67
348,9.60376,0.129823,1.02348,0.877308,770.781,770.781
345,15.7657,0.10034,0.916319,0.833774,3525.5,3525.5
344,13.4955,0.0964514,0.916319,0.88735,2220.84,2220.84
343,16.4037,0.0780905,0.916319,0.833774,4069.21,4069.21
342,10.5186,0.0636034,1.00074,0.336325,991.187,1089.77
