id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
76,10.5186,0.0636034,1.00074,0.235703,16.7639,16.8652
218,10.2034,0.0718946,1.73788,0.436446,122.167,147.982
223,7.16798,0.122372,1.26168,0.483111,151.845,158.823
54,10.2034,0.0718946,1.58065,0.282748,237.495,250.947
42,10.2034,0.0948292,1.72159,0.448768,429.184,616.444
129,11.6599,0.121692,1.22339,0.390103,1392.3,1392.3
1,15.2405,0.117818,1.22339,0.390103,3122.88,3122.88
80,13.243,0.0784373,1.46877,1,2140.34,2140.34
47,11.8621,0.0479892,1.40122,1,1008.24,1589
48,10.9352,0.0975607,0.989006,0.73411,1180.05,1180.05
38,11.8504,0.0934685,1.06016,0.571552,1436.1,1508.62
229,10.2179,0.116977,1.45741,0.866136,942.015,942.015
228,10.4521,0.0788692,1.07509,0.866136,1051.79,1051.79
227,10.4521,0.0788692,1.07509,0.866136,1051.79,1051.79
154,9.72184,0.0934685,0.674293,0.877308,832.967,832.967
212,10.6542,0.14321,1.30221,0.820986,1036.18,1036.18
224,10.4309,0.121617,0.986036,0.857977,996.882,996.882
171,14.5849,0.0975855,1.07762,0.655061,1530.11,2775.15
56,5.36364,0.147829,1.5625,1,34.3707,131.494
109,10.2034,0.113768,0.677772,0.816609,941.421,941.421
27,16.2152,0.147562,0.850291,0.791339,3634.36,3634.36
8,13.243,0.0471744,1.07189,1,2212.95,2212.95
220,15.7657,0.0964514,0.916319,0.632639,3540.73,3540.73
118,8.54644,0.0963758,1.04484,0.395549,564.084,564.084
140,9.72184,0.111054,0.922085,0.877308,816.808,816.808
3,10.3468,0.0957439,0.626065,0.492451,1001.64,1001.64
177,10.2034,0.0718946,1.58065,0.282748,469.829,985.901
37,14.0638,0.0948292,0.91722,0.816609,2517.93,2517.93
211,12.408,0.121692,1.41916,0.390103,1677.84,1677.84
61,11.6599,0.105055,1.22339,0.390103,1418.67,1418.67
210,14.9042,0.108657,1.12803,0.820986,2951.04,2951.04
25,11.6599,0.0980035,1.07762,1,1429.85,1429.85
103,10.9497,0.122372,1.07762,0.483111,1096.72,1152.18
209,9.86522,0.0330707,1.04484,0.362794,861.912,928.357
71,10.2034,0.0948292,1.29374,0.448768,296.928,961.539
55,10.3938,0.0895583,0.590028,0.869505,1022.31,1022.31
239,11.111,0.103758,1.26603,0.802511,1229.38,1229.38
208,9.72184,0.0934685,1.06016,0.571552,832.967,832.967
204,10.5186,0.0636034,1.00074,0.367409,1089.77,1089.77
206,10.6906,0.0964514,1.20281,0.993446,1103.96,1103.96
203,10.3468,0.0957439,1.01387,0.492451,1001.64,1001.64
