id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
108,11.6599,0.0980035,1.54622,0.838761,313.326,1221.13
43,11.6599,0.0980035,1.07762,1,965.707,1429.85
146,12.5901,0.0700411,0.675852,0.838761,765.28,1584.98
38,9.86522,0.0330707,1.04484,0.362794,47.6467,98.4253
127,10.5186,0.0859265,1.00074,0.59162,477.746,719.076
162,9.86522,0.0221887,1.04484,0.416496,75.076,377.343
13,10.5186,0.0636034,1.00074,0.336325,271.797,314.48
175,10.3468,0.0957439,0.871066,0.722246,480.666,1001.64
143,6.62495,0.0495447,1.04484,0.396954,13.7196,227.683
49,10.5909,0.0872936,0.925927,1,1084.24,1084.24
85,9.0064,0.0763374,0.899088,0.749394,569.833,674.787
158,9.86522,0.0330707,0.749983,0.431324,525.155,928.357
18,8.54644,0.0963758,1.04484,0.78886,564.084,564.084
133,15.3866,0.124844,0.959147,0.787089,3187.96,3187.96
126,10.6041,0.109164,0.959147,0.787089,1062.22,1062.22
62,16.3244,0.109962,0.990941,1,3839.44,3871.87
19,14.0638,0.0948292,0.91722,0.816609,2517.93,2517.93
97,10.2034,0.0948292,0.926179,0.816609,961.539,961.539
16,11.111,0.109149,0.986096,1,1221.98,1221.98
60,10.5186,0.0662682,1.00074,0.59162,1086.67,1086.67
147,10.5186,0.10155,1.00074,0.595433,1002.19,1045.61
12,14.5228,0.0926153,1.09372,0.76491,2630.61,2779.35
52,9.43487,0.0807282,0.911713,0.810446,521.884,772.061
71,10.4137,0.0980489,0.726618,0.749394,1018.59,1018.59
84,15.9936,0.0784373,0.590317,0.858785,3770.19,3770.19
137,9.72184,0.0934685,1.10557,0.877308,832.967,832.967
30,9.72184,0.0934685,1.02348,0.629392,832.967,832.967
40,10.3468,0.0957439,1.01387,0.722246,1001.64,1001.64
76,10.7254,0.153952,1.04757,0.862816,1043.84,1043.84
48,9.86522,0.0330707,1.04484,0.362794,732.134,928.357
152,14.9042,0.108657,1.12803,0.820986,2218.47,2951.04
20,10.6542,0.108657,1.41064,0.820986,1077.97,1077.97
148,12.5901,0.0700411,1.07762,0.838761,1855.9,1855.9
165,10.9497,0.0841511,1.07762,0.838761,866.615,1202.36
