id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
67,10.6041,0.109164,0.820595,0.963352,583.474,1062.22
162,8.54644,0.0963758,1.04484,0.78886,283.404,564.084
4,13.4955,0.0964514,0.916319,0.833774,2220.84,2220.84
154,10.6906,0.0964514,0.916319,0.833774,1103.96,1103.96
160,10.6542,0.108657,1.41064,0.820986,1077.97,1077.97
37,10.0874,0.0984838,0.558891,0.880341,925.366,925.366
149,8.36705,0.118055,1.06348,1,344.164,516.605
144,9.78704,0.106565,0.998146,0.766153,837.563,837.563
53,9.72184,0.0711464,1.02348,1,526.399,853.477
68,10.5186,0.10155,0.581448,0.749394,1045.61,1045.61
55,10.5186,0.10155,0.809998,0.749394,1045.61,1045.61
172,10.6041,0.109164,0.959147,0.787089,997.076,1062.22
141,10.2034,0.0948292,0.983743,0.816609,961.539,961.539
140,10.9352,0.0975607,0.946546,0.728983,767.579,1180.05
110,9.86522,0.0963758,0.993997,1,867.577,867.577
129,13.243,0.0784373,1.40122,1,2140.34,2140.34
125,10.7254,0.106736,1.04757,0.862816,1102.09,1102.09
27,10.3938,0.100338,0.986096,0.869505,1010.2,1010.2
69,10.3938,0.100338,0.986096,0.869505,1010.2,1010.2
96,11.6599,0.0980035,1.07762,0.838761,1429.85,1429.85
23,13.243,0.0969936,1.40122,1,2097.24,2097.24
8,9.72184,0.0800646,1.02348,1,845.283,845.283
107,15.7657,0.0964514,0.916319,0.833774,3540.73,3540.73
73,10.6906,0.0964514,0.980479,0.833774,995.452,1103.96
94,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
114,10.3468,0.0957439,1.01387,0.722246,680.607,1001.64
19,9.86522,0.0330707,1.04484,0.361256,203.397,928.357
116,9.43487,0.0932363,0.911713,0.810446,448.172,761.556
85,9.78704,0.106565,0.998146,0.766153,837.563,837.563
95,10.5186,0.0662682,1.00074,0.749394,1086.67,1086.67
101,9.0064,0.10155,0.899088,0.749394,656.368,656.368
127,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
113,14.5228,0.0926153,0.952858,0.76491,2779.35,2779.35
120,10.6906,0.0964514,0.916319,0.833774,1103.96,1103.96
1,10.4422,0.114881,0.983743,0.965134,483.59,1007.81
78,10.3468,0.0957439,1.01387,0.722246,899.049,1001.64
100,10.2034,0.0948292,0.983743,0.925165,961.539,961.539
71,10.9477,0.0556777,0.921825,0.759126,913.115,1239.06
62,9.44622,0.0921906,0.842342,0.491387,765.19,765.19
126,10.8258,0.107838,1.08967,0.88069,1131.95,1131.95
47,10.7254,0.106736,1.04757,0.862816,1102.09,1102.09
136,10.3979,0.0696741,1.07189,0.858785,974.655,1045.85
42,10.2034,0.0948292,0.983743,0.816609,961.539,961.539
88,9.86522,0.0963758,1.04484,0.78886,867.577,867.577
87,10.6542,0.0928621,0.699283,0.563719,1097.07,1097.07
86,10.6906,0.0964514,0.916319,0.833774,1103.96,1103.96
121,10.0884,0.116827,0.819537,0.768898,906.812,906.812
83,10.6259,0.0936721,0.949751,0.801127,898.706,1087.37
82,14.2574,0.0932363,0.743871,0.810446,2627.94,2627.94
2,10.6906,0.140666,1.02941,0.833774,938.938,1049.94
80,10.5186,0.10155,1.00074,0.749394,1045.61,1045.61
161,10.9352,0.0975607,0.989006,0.728983,1180.05,1180.05
167,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
76,10.2034,0.0905654,0.983743,0.726168,966.068,966.068
58,10.8258,0.107838,1.08395,0.88069,1131.95,1131.95
174,11.956,0.107838,0.670497,0.88069,1524.78,1524.78
93,10.5186,0.083238,0.944557,0.698093,1066.92,1066.92
151,10.4422,0.114881,0.983743,0.965134,1007.81,1007.81
104,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
119,9.86522,0.0330707,1.04484,0.416496,600.393,928.357
145,9.78704,0.106565,0.986036,0.766153,837.563,837.563
168,5.23082,0.0558914,1.12301,0.644152,63.776,135.123
32,9.86522,0.0495447,1.04484,0.396954,623.033,912.54
26,15.7657,0.0964514,0.916319,0.833774,3472.69,3540.73
74,11.111,0.0765658,0.986096,1,1266.68,1266.68
171,10.4521,0.0788692,1.07509,0.866136,928.389,1051.79
106,13.243,0.0784373,1.07189,0.858785,2140.34,2140.34
59,10.6542,0.108657,0.956475,0.820986,1077.97,1077.97
44,10.7549,0.102299,0.925927,0.858021,1116.74,1116.74
118,8.47368,0.0936721,0.949751,0.801127,551.444,551.444
46,10.5186,0.10155,1.00074,0.749394,1045.61,1045.61
115,10.5186,0.083238,0.944557,0.749394,735.106,1066.92
35,10.2466,0.0637179,0.986408,0.933363,1007.27,1007.27
39,9.78704,0.106565,0.909163,0.766153,837.563,837.563
56,8.95681,0.148745,1.04757,1,611.673,611.673
17,5.8488,0.106565,0.998146,0.538229,178.757,178.757
33,11.7562,0.106565,0.669065,0.766153,1451.66,1451.66
111,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
130,5.41732,0.10155,0.916063,0.497289,142.84,142.84
112,11.111,0.0765658,0.986096,1,1266.68,1266.68
166,12.7207,0.0936721,0.949751,0.801127,1865.58,1865.58
157,9.86522,0.0495447,1.04484,0.416496,912.54,912.54
51,10.6906,0.0964514,1.02941,0.833774,1103.96,1103.96
89,9.78704,0.106565,0.998146,0.766153,837.563,837.563
11,10.4521,0.116977,1.07509,0.866136,770.619,1008.28
81,10.6041,0.124844,0.959147,0.787089,571.28,1043.52
28,9.72184,0.0934685,1.02348,0.877308,832.967,832.967
54,10.2034,0.0948292,1.29374,0.448768,961.539,961.539
6,10.9497,0.0841511,1.07762,0.838761,1202.36,1202.36
75,10.5186,0.0652588,1.00074,0.749394,1087.84,1087.84
135,16.2152,0.107838,0.850291,0.791339,3803.72,3803.72
175,10.8258,0.107838,1.06679,0.515109,563.966,1131.95
3,14.5228,0.134691,0.783585,0.76491,2650.47,2650.47
163,11.6599,0.105055,1.07762,0.637875,1418.67,1418.67
99,11.6599,0.0980035,1.07762,0.838761,1429.85,1429.85
142,8.47368,0.087435,0.765155,0.801127,555.239,555.239
31,11.6599,0.105055,1.22339,0.390103,1418.67,1418.67
156,10.6542,0.108657,1.41064,0.820986,1077.97,1077.97
155,10.9368,0.109962,0.990941,0.806397,1164.33,1164.33
91,9.86522,0.0963758,1.47522,1,867.577,867.577
124,10.6041,0.109164,1.08823,0.787089,1062.22,1062.22
70,9.0064,0.0763374,0.899088,0.749394,674.787,674.787
103,9.01189,0.0911541,1.02687,0.853707,590.616,665.177
