id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
621,10.158,0.121692,1.41916,0.390103,42.4944,58.744
230,11.6599,0.105055,1.22339,0.196785,12.4533,12.544
620,11.5093,0.0522464,2.34482,0.207976,15.0682,15.1719
619,11.5093,0.0522464,2.34482,0.212679,16.0622,16.1704
618,11.5093,0.043509,1.58065,0.207976,14.9218,15.7351
617,11.5093,0.039318,2.33578,0.207976,14.1014,15.9116
616,11.5093,0.0427459,2.33578,0.207976,15.0346,15.8548
615,11.5093,0.039318,2.33578,0.207976,14.1014,15.9116
614,23.1771,0.0768367,1.5915,0.268586,312.151,313.711
102,20.7605,0.0768367,1.50659,0.268586,224.336,225.457
612,3.62316,0.0864086,1.82292,0.642594,4.6855,14.0029
611,8.54644,0.0963758,0.565686,0.395549,49.6478,50.9064
610,12.8227,0.0768367,1.22339,0.191097,36.056,36.2608
609,14.7756,0.0964514,0.980479,0.653395,808.565,1171.03
608,13.8434,0.0774048,1.07509,0.866136,379.396,2132.74
607,12.7681,0.0788692,1.07509,0.866136,835.54,1670.68
606,10.4521,0.0925437,1.44636,0.866136,171.966,902.877
600,10.4521,0.0788692,1.07509,0.943538,131.449,1051.79
604,12.408,0.121692,1.91757,0.309337,112.152,112.567
603,13.0206,0.0642254,1.72159,0.394029,243.087,246.058
602,10.2034,0.0760933,1.72159,0.496033,151.708,205.73
601,6.68952,0.148097,1.07762,0.402167,32.4871,32.5841
605,15.3539,0.17959,1.91757,0.238078,111.219,111.719
181,9.80892,0.138767,1.71572,0.499805,201.122,201.603
86,9.80892,0.105055,1.71572,0.447638,161.105,161.525
518,8.64803,0.105055,1.71572,0.499805,132.825,143.569
545,10.2034,0.0948292,1.72159,0.250307,54.5761,54.7894
486,11.5093,0.0522464,0.88992,0.207976,59.0643,59.3219
292,14.4055,0.06379,0.739853,0.866136,1505.94,2798.73
162,5.4593,0.104021,1.22339,0.231336,11.6678,12.5319
4,10.5257,0.0663626,1.00074,0.420162,225.297,272.452
364,10.0381,0.106965,1.12911,0.26513,102.497,102.815
128,10.0381,0.106965,0.944557,0.403798,250.129,250.705
595,11.6599,0.0821602,1.22339,0.429268,710.509,823.742
594,16.7467,0.102914,1.73245,0.390103,2058.44,2062.38
593,17.4433,0.176393,1.22068,0.390103,2135.65,2139.72
72,15.2405,0.117818,1.22339,0.195101,649.895,651.541
590,12.2694,0.0662682,1.00074,0.358485,722.973,949.11
445,14.7957,0.0670544,1.67664,0.228813,934.277,994.027
293,16.8963,0.0522464,1.58065,0.207976,1218.08,1412.1
569,11.5093,0.0314367,1.58065,0.207976,209.981,456.115
106,10.6542,0.108657,1.30221,0.412969,596.368,763.705
123,23.4467,0.0768367,1.22339,0.268586,5105.21,5256.35
31,19.9029,0.0731054,1.24851,0.159673,2626.58,2689.93
584,13.0026,0.105055,1.06639,0.326713,1463.06,1596.37
307,17.302,0.0768367,1.7957,0.206897,1859.84,2620.98
492,17.302,0.0401753,1.22339,0.306535,1499.82,3960.7
379,15.2405,0.117818,0.620452,0.405936,3122.88,3122.88
431,17.302,0.0768367,1.22339,0.104598,1816.12,1868.52
408,9.96009,0.121692,1.96264,0.238078,496.337,625.463
94,10.3468,0.141757,1.01387,0.722246,950.674,950.674
575,11.6599,0.154813,1.22339,0.390103,1339.79,1339.79
574,17.4433,0.0854005,1.22339,0.390103,4854.2,4854.2
573,6.26728,0.102914,1.22339,0.522932,159.171,220.837
572,11.6599,0.121692,1.22339,0.362545,1392.3,1392.3
571,15.3326,0.136852,1.15858,0.390103,3111.23,3111.23
149,15.2405,0.117818,1.22339,0.390103,3122.88,3122.88
568,10.2034,0.0931967,1.58065,0.282748,855.829,963.273
567,16.3244,0.109962,0.990941,1,3871.87,3871.87
262,12.1219,0.109962,0.990941,1,1585.32,1585.32
536,11.6599,0.121692,1.60499,0.480446,1392.3,1392.3
570,17.3312,0.0768367,1.22339,0.140186,3089.81,4194.82
563,10.4309,0.148291,0.656464,0.857977,966.609,966.609
562,10.5186,0.0662682,1.00074,0.59162,806.289,1086.67
561,10.5186,0.090228,1.00074,0.59162,1058.78,1058.78
560,15.7657,0.142176,0.916319,0.495501,3361.55,3361.55
559,13.4955,0.0964514,0.916319,0.833774,2220.84,2220.84
558,16.4037,0.0780905,0.916319,0.807032,4069.21,4069.21
557,12.4185,0.116838,0.916319,0.833774,1691.41,1691.41
556,14.5849,0.140216,0.741151,0.655061,2667.5,2667.5
153,20.6864,0.0975855,1.07762,0.655061,7988.38,7988.38
274,11.6599,0.121692,1.16087,0.390103,1392.3,1392.3
550,11.6599,0.145603,1.22339,0.756591,1354.39,1354.39
508,9.78704,0.106565,1.25519,0.528997,837.563,837.563
549,10.091,0.121692,2.09448,0.332788,902.505,902.505
187,11.5093,0.0522464,1.63379,0.207976,937.099,1444.93
504,8.52712,0.0925545,1.07762,0.637875,562.636,562.636
175,6.94286,0.0728935,1.00074,0.235703,182.862,310.274
543,14.9042,0.108657,1.12803,0.820986,2951.04,2951.04
542,23.0067,0.0642369,1.22339,0.268586,11395.3,11395.3
541,15.8644,0.0723488,1.71656,0.390103,3703.85,3703.85
540,15.2405,0.0436335,1.71656,0.585119,2445.02,3385.49
183,12.408,0.121692,1.69109,0.429692,1677.84,1677.84
535,12.7555,0.0700411,1.07762,0.838761,1929.99,1929.99
534,14.0043,0.0980035,1.07762,0.838761,2477.34,2477.34
533,10.9497,0.0841511,1.07762,0.762338,1202.36,1202.36
532,12.408,0.121692,2.64272,0.238078,1677.84,1677.84
531,12.408,0.136464,1.93942,0.296791,1649.62,1649.62
530,10.3571,0.0678397,1.58065,0.352345,1032.5,1035.64
529,11.6599,0.105055,1.22339,0.297725,1418.67,1418.67
528,16.684,0.121692,1.60499,0.390103,4078.97,4078.97
527,13.8915,0.0795679,0.959147,0.787089,2467.39,2467.39
526,11.6599,0.121692,1.22339,0.324271,1392.3,1392.3
525,11.6599,0.102914,1.22339,0.390103,1422.06,1422.06
524,19.2968,0.117818,1.8126,0.285753,6338.91,6338.91
523,12.0113,0.145115,0.737096,0.390103,1481.41,1481.41
522,10.7305,0.124844,0.918552,0.787089,1081.3,1081.3
521,15.3866,0.172529,0.827715,1,3014.26,3014.26
520,12.2694,0.0662682,1.00074,0.481328,1724.62,1724.62
519,10.8788,0.146125,1.22339,0.339967,1099.36,1099.36
544,14.9042,0.0581716,1.12803,0.521824,1689.79,3118.18
236,12.2442,0.0718946,1.58065,0.282748,339.761,340.641
517,17.302,0.0762658,0.99041,0.262664,4784.52,4784.52
516,8.54283,0.0963758,1.04484,0.536205,563.37,563.37
515,12.7422,0.145168,1.41064,1,1768.56,1768.56
514,10.5186,0.069165,1.02339,0.235703,1083.3,1083.3
513,13.936,0.0669113,1.58065,0.489044,2525.43,2525.43
512,13.936,0.0600672,1.58065,0.489044,2536.22,2543.95
511,11.5093,0.0522464,2.34482,0.125723,1047.46,1444.93
510,20.1724,0.0964514,1.32901,0.688125,7416.91,7416.91
509,11.6599,0.105055,1.22339,0.522125,1418.67,1418.67
507,17.3312,0.0768367,1.22339,0.137341,4805.81,4805.81
506,15.8601,0.0888523,1.58065,0.0977794,3635.04,3635.04
250,8.66345,0.105055,1.07762,0.44377,581.928,581.928
503,9.79041,0.0934397,0.987336,0.698093,850.744,850.744
502,11.6599,0.0674098,1.07762,0.637875,1478.35,1478.35
15,10.0381,0.106965,0.944557,0.403798,903.285,903.285
500,11.6599,0.105055,1.22339,0.326713,1418.67,1418.67
499,17.4197,0.121692,1.41916,0.390103,4642.7,4642.7
6,12.408,0.0805965,1.41916,0.390103,1756.34,1756.34
498,13.9236,0.0676687,1.22339,0.229515,2516.65,2516.65
497,11.2395,0.0879372,0.986096,0.869505,1294.99,1294.99
93,11.5093,0.0731054,1.33644,0.207976,1413.13,1413.13
65,11.5093,0.0522464,0.88992,0.207976,1341.99,1444.93
140,14.8383,0.105055,1.46462,0.447486,2923.83,2923.83
178,15.2405,0.0856972,1.71656,0.390103,3236.58,3236.58
209,10.4422,0.0560923,0.62584,0.640826,634.236,1074.75
432,12.408,0.121692,1.41916,0.429692,769.551,771.049
494,11.6599,0.121692,1.60499,0.557486,1392.3,1392.3
489,8.36704,0.0718946,1.58065,0.282748,543.642,543.642
33,10.3213,0.105055,1.35798,0.30308,983.997,983.997
305,6.09643,0.0543109,1.22339,0.314922,102.401,214.277
487,10.2034,0.0948292,0.995801,0.394029,961.539,961.539
321,6.68952,0.105055,1.07762,0.402167,267.905,267.905
71,15.8601,0.0812599,1.58065,0.0977794,66.8905,67.2723
485,11.111,0.0765658,0.986096,0.951379,1266.68,1266.68
484,7.89841,0.109149,1.39631,1,438.959,438.959
482,10.0381,0.118451,0.944557,0.403798,891.667,891.667
16,13.5191,0.0856579,0.944557,0.403798,2259.19,2259.19
460,19.4919,0.0834653,0.916319,0.596835,6787.52,6787.52
479,11.5093,0.039318,2.33578,0.207976,754.978,1464.64
477,11.6599,0.105055,1.22339,0.470247,1418.67,1418.67
452,11.9281,0.106965,1.12911,0.26513,1515.57,1515.57
150,17.302,0.0768367,1.50659,0.268586,4346.75,4781.57
56,11.6599,0.147046,1.54377,0.290885,1352.11,1352.11
474,16.1511,0.114821,0.91722,0.816609,3729.42,3729.42
476,17.302,0.0768367,1.22339,0.14449,4781.57,4781.57
471,17.302,0.0869144,1.476,0.294173,3626.89,4729.37
470,12.408,0.121692,1.91757,0.238078,1624.65,1677.84
434,11.8393,0.17959,1.91757,0.238078,1361.47,1361.47
469,14.7957,0.0670544,1.23966,0.207976,3021.76,3021.76
67,10.2034,0.109722,1.72159,0.511985,945.719,945.719
421,10.2034,0.0948292,1.72159,0.250307,961.539,961.539
12,8.89784,0.0523792,1.00074,0.406892,391.64,667.557
466,8.57438,0.0934685,1.2656,0.5071,571.467,571.467
465,11.8504,0.0794106,1.06016,0.571552,1532.02,1532.02
464,17.302,0.0608632,1.45053,0.390103,4864.3,4864.3
397,11.5093,0.0522464,1.58065,0.207976,1444.93,1444.93
480,13.6952,0.0768367,1.7867,0.119548,2371.29,2371.29
459,8.37621,0.117818,1.22339,0.252797,518.442,518.442
458,15.5229,0.121692,1.22339,0.490495,3285.24,3285.24
457,9.97501,0.0583898,1.68565,0.390103,934.57,934.57
456,11.6599,0.149795,0.911496,0.390103,1347.75,1347.75
455,11.4211,0.119646,1.22339,0.390103,1311.54,1311.54
454,11.6082,0.0821602,0.800509,0.390103,1435.68,1435.68
453,9.78704,0.0957637,0.998146,0.766153,847.688,847.688
451,7.16798,0.158593,1.26168,0.483111,309.881,309.881
